Player ,09/10vs. LAR,09/16vs. DEN,09/23vs. MIA,09/30vs. CLE,10/07vs. LAC,10/14vs. SEA,10/28vs. IND,11/01vs. SFO,11/11vs. LAC,11/18vs. ARI,11/25vs. BAL,12/02vs. KAN,12/09vs. PIT,12/16vs. CIN,12/24vs. DEN,12/30vs. KAN,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Martavis Bryant,,,,,,Q,,,,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Shilique Calhoun,,,,,,,,,,,,,IR,IR,IR,IR,,,,,,,,,,,,,
T.J. Clemmings,,,,,,,,O,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Gareon Conley,,,,,,,,Q,,Q,,,,,Q,Q,21.0,23.0,RCB,15.0,14.0,190.0,2000-06-01,Ohio St.,1995-06-29,1,5.0,Oakland Raiders / 1st / 24th pick / 2017,940792.0
Andrew DePaola,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Justin Ellis,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,,,,,,
Jon Feliciano,,,,,,,,,,,,,,IR,IR,IR,,,,,,,,,,,,,
Leon Hall,,,,,,,,,,,IR,O,IR,IR,IR,IR,,,,,,,,,,,,,
P.J. Hall,,O,O,Q,,,,,,,,,,,,,92.0,23.0,ldt,14.0,6.0,305.0,2000-06-01,Sam Houston St.,1995-04-05,Rook,3.0,Oakland Raiders / 2nd / 57th pick / 2018,480000.0
Dwayne Harris,,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maurice Hurst Jr.,,,,,,,,,,,,Q,Q,Q,Q,Q,73.0,23.0,LDT,13.0,10.0,291.0,2020-06-02,Michigan,1995-05-09,Rook,5.0,Oakland Raiders / 5th / 140th pick / 2018,480000.0
Gabe Jackson,,Q,,,,,,,,,,,,IR,IR,IR,66.0,27.0,RG,13.0,13.0,335.0,2020-06-03,Mississippi St.,1991-07-12,4,5.0,Oakland Raiders / 3rd / 81st pick / 2014,4250000.0
Karl Joseph,,,,O,O,Q,,,,,,,,,,,42.0,25.0,FS,13.0,8.0,200.0,2020-05-10,West Virginia,1993-09-08,2,3.0,Oakland Raiders / 1st / 14th pick / 2016,1530392.0
Arden Key,,,,,,,,,,,,Q,,,,,99.0,22.0,RDE,16.0,10.0,240.0,2020-06-05,LSU,1996-05-03,Rook,4.0,Oakland Raiders / 3rd / 87th pick / 2018,480000.0
Brandon LaFell,,,,,,,,,,,IR,IR,IR,IR,IR,IR,19.0,32.0,wr,6.0,5.0,210.0,2020-06-03,LSU,1986-11-04,8,1.0,Carolina Panthers / 3rd / 78th pick / 2010,915000.0
Marshawn Lynch,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,24.0,32.0,rb,6.0,6.0,215.0,2020-05-11,California,1986-04-22,11,3.0,Buffalo Bills / 1st / 12th pick / 2007,2500000.0
Khalil Mack,IR,IR,,,IR,,IR,IR,,,IR,,,,IR,,,,,,,,,,,,,,
Doug Martin,,,,,,,,,,,,,Q,,,,28.0,29.0,RB,16.0,9.0,210.0,2020-05-09,Boise St.,1989-01-13,6,5.0,Tampa Bay Buccaneers / 1st / 31st pick / 2012,850000.0
Dexter McDonald,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Montrel Meander,,,,,,,,,,,,,,,,O,,,,,,,,,,,,,
Obi Melifonwu,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,IR,IR,IR,IR,,,,,,,,,,,,,
Tevin Mitchel,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Jordy Nelson,,,,,,,,,,O,Q,,,,,,82.0,33.0,WR,15.0,14.0,217.0,2020-06-03,Kansas St.,1985-05-31,10,5.0,Green Bay Packers / 2nd / 36th pick / 2008,3400000.0
Nick Nelson,,,Q,,,,,,,Q,,,,,,,,,,,,,,,,,,,
Reggie Nelson,,,,,,,,,,,,,IR,IR,IR,IR,27.0,35.0,FS,11.0,7.0,210.0,2020-05-11,Florida,1983-09-21,11,3.0,Jacksonville Jaguars / 1st / 21st pick / 2007,1150000.0
Mike Nugent,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Kelechi Osemele,,,,,Q,D,Q,Q,,,,,Q,Q,,,70.0,29.0,LG,11.0,11.0,330.0,2020-06-05,Iowa St.,1989-06-24,6,4.0,Baltimore Ravens / 2nd / 60th pick / 2012,9700000.0
Donald Penn,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Eddy Pineiro,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Brian Price,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shaquille Richardson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Seth Roberts,,,,,,,,,,,,,Q,,,,10.0,27.0,WR,15.0,7.0,195.0,2020-06-02,West Alabama,1991-02-22,4,4.0,,2250000.0
Dominique Rodgers-Cromartie,,,,Q,,,,,,,,,,,,,,,,,,,,,,,,,
Ahtyba Rubin,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Frostee Rucker,,,,,,D,,,,,,,,,,,98.0,35.0,LDE,15.0,15.0,261.0,2020-06-03,USC,1983-09-14,11,6.0,Cincinnati Bengals / 3rd / 91st pick / 2006,1015000.0
Jacquies Smith,,,,,,,,,,,,IR,IR,,IR,IR,,,,,,,,,,,,,
Eddie Vanderdoes,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Chris Warren,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
DeAndre Washington,O,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,
Griff Whalen,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Kyle Wilber,,,,,,,,,,Q,,,Q,Q,,,,,,,,,,,,,,,
Daryl Worley,,,,,,,Q,Q,,,,Q,Q,,Q,,20.0,23.0,LCB,10.0,9.0,215.0,2020-06-01,West Virginia,1995-02-22,2,3.0,Carolina Panthers / 3rd / 77th pick / 2016,481767.0
