Player ,09/13vs. SEA,09/20vs. WAS,09/27vs. PIT,10/04vs. ARI,10/11vs. GNB,10/25vs. CLE,11/01vs. SFO,11/08vs. MIN,11/15vs. CHI,11/22vs. BAL,11/29vs. CIN,12/06vs. ARI,12/13vs. DET,12/17vs. TAM,12/27vs. SEA,01/03vs. SFO,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Maurice Alexander,,,,O,D,,,,,,,,,,,,31.0,24.0,ss,14.0,5.0,220.0,2020-06-02,Utah St.,1991-02-16,1,3.0,St. Louis Rams / 4th / 110th pick / 2014,626065.0
Tavon Austin,,,,,,Q,,,,,,,,,,,11.0,25.0,WR,16.0,15.0,179.0,2020-05-08,West Virginia,1990-03-15,2,7.0,St. Louis Rams / 1st / 8th pick / 2013,3477546.0
Akeem Ayers,,,,,,,,,P,,,,,,,,56.0,26.0,RLB,16.0,10.0,255.0,2020-06-03,UCLA,1989-07-10,4,7.0,Tennessee Titans / 2nd / 39th pick / 2011,2921875.0
Stedman Bailey,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Tim Barnes,,,,,,,,,,P,,,,,,,61.0,27.0,C,16.0,16.0,297.0,2020-06-04,Missouri,1988-05-14,4,5.0,,710017.0
Mark Barron,,,,,,,,,,,,,,,,P,26.0,26.0,LLB,16.0,12.0,230.0,2020-06-02,Alabama,1989-10-27,3,4.0,Tampa Bay Buccaneers / 1st / 7th pick / 2012,2362704.0
Daren Bates,Q,P,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenny Britt,,,,P,P,,,,,,,,,P,,,18.0,27.0,WR,16.0,14.0,230.0,2020-06-03,Rutgers,1988-09-19,6,5.0,Tennessee Titans / 1st / 30th pick / 2009,4300000.0
Michael Brockers,,,,,,,,,,,,,,,,P,90.0,25.0,RDT,16.0,16.0,305.0,2020-06-05,LSU,1990-12-21,3,9.0,St. Louis Rams / 1st / 14th pick / 2012,3029727.0
Jamon Brown,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,68.0,22.0,LG,9.0,9.0,340.0,2020-06-04,Louisville,1993-03-15,Rook,3.0,St. Louis Rams / 3rd / 72nd pick / 2015,623704.0
Benny Cunningham,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,
Justice Cunningham,,,,,,,,,,Q,,,,,,,,,,,,,,,,,,,
Andrew Donnal,,,,,,,,,,,O,O,O,O,O,Q,,,,,,,,,,,,,
Nick Fairley,,,,,,,P,,,,,,,,,IR,,,,,,,,,,,,,
E.J. Gaines,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Todd Gurley,O,Q,Q,,,,,,P,,,,,P,,D,,,,,,,,,,,,,
Rob Havenstein,,,,,,,,Q,Q,D,Q,P,,P,,,79.0,23.0,RT,13.0,13.0,330.0,2020-06-08,Wisconsin,1992-05-13,Rook,5.0,St. Louis Rams / 2nd / 57th pick / 2015,721822.0
William Hayes,,,,,,,Q,Q,,,,,P,,,,95.0,30.0,LDE,16.0,11.0,265.0,2020-06-03,Winston-Salem St.,1985-05-02,7,7.0,Tennessee Titans / 4th / 103rd pick / 2008,4480000.0
Johnny Hekker,,,P,,,,,,,,,,P,,,,,,,,,,,,,,,,
Zach Hocker,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,
Janoris Jenkins,,,,,,P,,,,,,,D,P,,,21.0,27.0,RCB,15.0,15.0,190.0,2020-05-10,"North Alabama,Florida",1988-10-29,3,6.0,St. Louis Rams / 2nd / 39th pick / 2012,1587829.0
Trumaine Johnson,,P,,,,,,,,,Q,D,P,,,,22.0,25.0,LCB,14.0,13.0,213.0,2020-06-02,Montana,1990-01-01,3,7.0,St. Louis Rams / 3rd / 65th pick / 2012,1709794.0
