Player ,09/12vs. SFO,09/18vs. SEA,09/25vs. TAM,10/02vs. ARI,10/09vs. BUF,10/16vs. DET,10/23vs. NYG,11/06vs. CAR,11/13vs. NYJ,11/20vs. MIA,11/27vs. NOR,12/04vs. NWE,12/11vs. ATL,12/15vs. SEA,12/24vs. SFO,01/01vs. ARI,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Maurice Alexander,,,Q,,,,,,,,,,,O,,,31.0,25.0,FS,14.0,14.0,220.0,2020-06-02,Utah St.,1991-02-16,2,4.0,St. Louis Rams / 4th / 110th pick / 2014,600000.0
Tavon Austin,,,,Q,,,,,,,,D,,,,,11.0,26.0,WR,15.0,15.0,179.0,2020-05-08,West Virginia,1990-03-15,3,4.0,St. Louis Rams / 1st / 8th pick / 2013,1111111.0
Tim Barnes,,,,,,,,,,Q,Q,Q,,,,,61.0,28.0,C,16.0,16.0,297.0,2020-06-04,Missouri,1988-05-14,5,5.0,,1250000.0
Michael Brockers,,Q,,,Q,Q,O,Q,Q,,,,,,,,90.0,26.0,RDT,14.0,14.0,305.0,2020-06-05,LSU,1990-12-21,4,6.0,St. Louis Rams / 1st / 14th pick / 2012,6146000.0
Jamon Brown,,,,,,,D,Q,,,,,,,,,,,,,,,,,,,,,
Marqui Christian,,,,,,,,,,,,,,,IR,IR,,,,,,,,,,,,,
Pharoh Cooper,O,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,
Benny Cunningham,,,,,,,,,,,,,IR,IR,IR,IR,,,,,,,,,,,,,
Cody Davis,,,,,Q,,,,,,,,,,,,,,,,,,,,,,,,
Andrew Donnal,,,,,,,,,,,,Q,,,,,,,,,,,,,,,,,
Dominique Easley,,,,Q,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Forrest,,,,,,,,,,,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
E.J. Gaines,O,O,Q,,,,,,,,,,Q,D,,,33.0,24.0,RCB,11.0,10.0,190.0,2020-05-10,Missouri,1992-02-23,2,3.0,St. Louis Rams / 6th / 188th pick / 2014,600000.0
Todd Gurley,,Q,,,,,,,Q,Q,,,,,,,30.0,22.0,RB,16.0,16.0,224.0,2020-06-01,Georgia,1994-08-03,1,4.0,St. Louis Rams / 1st / 10th pick / 2015,1063326.0
Bryce Hager,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cory Harkey,,,,,,,,,,,,,,IR,IR,IR,,,,,,,,,,,,,
Rob Havenstein,Q,,,,,,,,,,,,,,,D,79.0,24.0,RT,15.0,15.0,330.0,2020-06-08,Wisconsin,1992-05-13,1,5.0,St. Louis Rams / 2nd / 57th pick / 2015,615455.0
Trumaine Johnson,,,,,,O,O,Q,Q,,,,,,,,22.0,26.0,LCB,14.0,14.0,213.0,2020-06-02,Montana,1990-01-01,4,4.0,St. Louis Rams / 3rd / 65th pick / 2012,13952000.0
Lamarcus Joyner,,Q,Q,Q,,,,,Q,Q,,,,,,D,20.0,26.0,DB,14.0,8.0,185.0,2020-05-08,Florida St.,1990-11-27,2,3.0,St. Louis Rams / 2nd / 41st pick / 2014,877289.0
Zach Laskey,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Matt Longacre,,,,,,,,,Q,,,,,Q,,,,,,,,,,,,,,,
Bradley Marquez,,,,,,,,,,,,,,,IR,IR,,,,,,,,,,,,,
Marquez North,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Robert Quinn,,,,,Q,Q,Q,,,Q,,IR,IR,D,IR,IR,94.0,26.0,RDE,9.0,8.0,257.0,2020-06-04,North Carolina,1990-05-18,5,4.0,St. Louis Rams / 1st / 14th pick / 2011,7777777.0
Brian Randolph,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Garrett Reynolds,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Rodger Saffold,,,,,,,,,,,,Q,,,,,76.0,28.0,LG,15.0,15.0,323.0,2020-06-05,Indiana,1988-06-06,6,5.0,St. Louis Rams / 2nd / 33rd pick / 2010,4500000.0
Eugene Sims,,,,,,,,,,Q,,,,,,,97.0,30.0,RDE,16.0,8.0,240.0,2020-06-05,West Texas A&M,1986-03-18,6,5.0,St. Louis Rams / 6th / 189th pick / 2010,2250000.0
Nelson Spruce,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Mike Thomas,,,,,,,,,,,,,,,,Q,,,,,,,,,,,,,
Louis Trinca-Pasat,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Ethan Westbrooks,,,,,,,,,,,Q,,,,,,,,,,,,,,,,,,
Cody Wichmann,,,,,,Q,,,,,,,,,,,69.0,24.0,RG,12.0,11.0,325.0,2020-06-05,Fresno St.,1992-03-02,1,3.0,St. Louis Rams / 6th / 215th pick / 2015,525000.0
Darrell Williams,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
