Player ,09/10vs. IND,09/17vs. WAS,09/21vs. SFO,10/01vs. DAL,10/08vs. SEA,10/15vs. JAX,10/22vs. ARI,11/05vs. NYG,11/12vs. HOU,11/19vs. MIN,11/26vs. NOR,12/03vs. ARI,12/10vs. PHI,12/17vs. SEA,12/24vs. TEN,12/31vs. SFO,01/06vs. ATL,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Maurice Alexander,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Brandon Allen,,,,,,,,,,,,,,IR,IR,IR,IR,,,,,,,,,,,,,
Mark Barron,,,,,,Q,Q,,,,,,,,,D,,26.0,28.0,DB,14.0,14.0,230.0,2020-06-02,Alabama,1989-10-27,5,7.0,Tampa Bay Buccaneers / 1st / 7th pick / 2012,5000000.0
Connor Barwin,,,,,,,,,,,,O,Q,,,,,98.0,31.0,LILB,14.0,13.0,255.0,2020-06-04,Cincinnati,1986-10-15,8,6.0,Houston Texans / 2nd / 46th pick / 2009,2000000.0
Jamon Brown,,,,,Q,,,,,,,,,,,,,68.0,24.0,RG,16.0,16.0,340.0,2020-06-04,Louisville,1993-03-15,2,7.0,St. Louis Rams / 3rd / 72nd pick / 2015,686686.0
Malcolm Brown,,,Q,,,,,,O,O,O,Q,,,,,,,,,,,,,,,,,,
Derek Carrier,,,,,,,,,D,Q,,,,,,,,,,,,,,,,,,,,
Marqui Christian,,,,,,,,,,,,,,,,IR,IR,,,,,,,,,,,,,
Cody Davis,,,,Q,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,,,
Lance Dunbar,IR,IR,IR,IR,IR,IR,IR,IR,,,Q,Q,IR,IR,IR,,IR,,,,,,,,,,,,,
Dominique Easley,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Bryce Hager,,,,,,,,,,,Q,,,,,,,,,,,,,,,,,,,
Cory Harkey,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Dominique Hatfield,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,
Temarrick Hemingway,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Troy Hill,,,,,,D,,,,Q,,,,,,,,,,,,,,,,,,,,
Lamarcus Joyner,,,,O,D,Q,,,,,,,,,,IR,,20.0,27.0,FS,12.0,12.0,185.0,2020-05-08,Florida St.,1990-11-27,3,6.0,St. Louis Rams / 2nd / 41st pick / 2014,1105934.0
Cooper Kupp,,,,,,,,,,,,,,,,Q,,,24.0,wr,15.0,6.0,208.0,2020-06-02,East. Washington,1993-06-15,Rook,9.0,Los Angeles Rams / 3rd / 69th pick / 2017,465000.0
Zach Laskey,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Matt Longacre,,,,,,,,,,,,,,,IR,IR,IR,,,,,,,,,,,,,
Bradley Marquez,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,,,,,,,,,,,,,
Alec Ogletree,,,,,,,,,,,,,Q,,,,,52.0,26.0,RILB,15.0,15.0,235.0,2020-06-02,Georgia,1991-09-25,4,8.0,St. Louis Rams / 1st / 30th pick / 2013,8369000.0
Robert Quinn,,,,,,,,,D,,,,,,,,,94.0,27.0,LOLB,15.0,14.0,257.0,2020-06-04,North Carolina,1990-05-18,6,6.0,St. Louis Rams / 1st / 14th pick / 2011,6161616.0
Nickell Robey-Coleman,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,
John Sullivan,,,,Q,,,,,,,,,,,,,,65.0,32.0,C,15.0,15.0,312.0,2020-06-04,Notre Dame,1985-08-08,9,7.0,Minnesota Vikings / 6th / 187th pick / 2008,900000.0
Mike Thomas,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,
Kayvon Webster,,Q,Q,,,,,,,,,,,IR,IR,IR,IR,21.0,26.0,RCB,11.0,11.0,190.0,2020-05-11,South Florida,1991-02-01,4,4.0,Denver Broncos / 3rd / 90th pick / 2013,2750000.0
Robert Woods,,,,,,,,,,,O,O,Q,,,,,17.0,25.0,WR,12.0,11.0,195.0,2000-06-01,USC,1992-04-10,4,8.0,Buffalo Bills / 2nd / 41st pick / 2013,3000000.0
Greg Zuerlein,,,,,,,,,,,,,,,IR,IR,IR,,,,,,,,,,,,,
