Player ,09/10vs. OAK,09/16vs. ARI,09/23vs. LAC,09/27vs. MIN,10/07vs. SEA,10/14vs. DEN,10/21vs. SFO,10/28vs. GNB,11/04vs. NOR,11/11vs. SEA,11/19vs. KAN,12/02vs. DET,12/09vs. CHI,12/16vs. PHI,12/23vs. ARI,12/30vs. SFO,01/12vs. DAL,01/20vs. NOR,02/03vs. NWE,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Mark Barron,D,D,D,D,Q,,,,,,,,,,,,,,,26.0,29.0,RILB,12.0,12.0,230.0,2020-06-02,Alabama,1989-10-27,6.0,5.0,Tampa Bay Buccaneers / 1st / 7th pick / 2012,6499999.0
Malcolm Brown,,,,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Pharoh Cooper,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,IR,IR,IR,,,,,,,,,,,,,
Justin Davis,,,,,,,,,,,,,,,Q,Q,,,,,,,,,,,,,,,,
Ryan Davis,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Dominique Easley,,,,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Morgan Fox,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Todd Gurley,,,,,,,,,,,,,,,Q,O,,,,,,,,,,,,,,,,
Dominique Hatfield,,,,,,,,,,,,,,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Tyler Higbee,,,,,Q,,,,,,,,,,,,,,,89.0,25.0,TE,16.0,16.0,255.0,2020-06-06,Western Kentucky,1993-01-01,2.0,3.0,Los Angeles Rams / 4th / 110th pick / 2016,630000.0
Lamarcus Joyner,,,,,,,,,,,,,,,,O,,,,20.0,28.0,FS,15.0,15.0,185.0,2020-05-08,Florida St.,1990-11-27,4.0,5.0,St. Louis Rams / 2nd / 41st pick / 2014,11287000.0
Cooper Kupp,,,,,,,O,D,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,25.0,WR,8.0,8.0,208.0,2020-06-02,East. Washington,1993-06-15,1.0,6.0,Los Angeles Rams / 3rd / 69th pick / 2017,640000.0
Ogbonnia Okoronkwo,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Marcus Peters,,,,Q,,,,,,,,,,,,,,,,22.0,25.0,LCB,16.0,16.0,195.0,2000-06-01,Washington,1993-01-09,3.0,6.0,Kansas City Chiefs / 1st / 18th pick / 2015,1741931.0
Kevin Peterson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Sam Shields,,,,,,,,,Q,,,,,,,,,,,,,,,,,,,,,,,
Garrett Sickels,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Aqib Talib,,,,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,21.0,32.0,RCB,8.0,8.0,209.0,2020-06-01,Kansas,1986-02-13,10.0,3.0,Tampa Bay Buccaneers / 1st / 20th pick / 2008,11000000.0
Mike Thomas,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Carlos Thompson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Kendal Thompson,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Ethan Westbrooks,,,,,,,,,,,,,,,,Q,Q,,,,,,,,,,,,,,,
Trevon Young,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,
Greg Zuerlein,,,O,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,
