Player ,09/08vs. CAR,09/15vs. NOR,09/22vs. CLE,09/29vs. TAM,10/03vs. SEA,10/13vs. SFO,10/20vs. ATL,10/27vs. CIN,11/10vs. PIT,11/17vs. CHI,11/25vs. BAL,12/01vs. ARI,12/08vs. SEA,12/15vs. DAL,12/21vs. SFO,12/29vs. ARI,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Brian Allen,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,55.0,24.0,C,9.0,9.0,303.0,2020-06-02,Michigan St.,1995-10-11,1,4.0,Los Angeles Rams / 4th / 111th pick / 2018,570000.0
Austin Blythe,,,Q,,,,,,,,,,,,,,66.0,27.0,RG,15.0,15.0,298.0,2020-06-03,Iowa,1992-06-16,3,7.0,Indianapolis Colts / 7th / 248th pick / 2016,2025000.0
Malcolm Brown,,,,,,,D,O,,,,,,,,,,,,,,,,,,,,,
Josh Carraway,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Brandin Cooks,,,,,,,,,O,O,,,,,,,12.0,26.0,WR,14.0,14.0,183.0,2020-05-10,Oregon St.,1993-09-25,5,5.0,New Orleans Saints / 1st / 20th pick / 2014,1000000.0
Aaron Donald,,,Q,,,,,,,,,,,,,,,,,,,,,,,,,,
Gerald Everett,,,,,,,,,,Q,,O,O,O,,,,,,,,,,,,,,,
Todd Gurley,,,,,,D,,,,,,,,,,,30.0,25.0,RB,15.0,15.0,224.0,2020-06-01,Georgia,1994-08-03,4,6.0,St. Louis Rams / 1st / 10th pick / 2015,5000000.0
Bryce Hager,,,,,O,,Q,O,O,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Dominique Hatfield,IR,IR,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rob Havenstein,,,,,,,,,,O,O,O,D,D,,,79.0,27.0,RT,9.0,9.0,330.0,2020-06-08,Wisconsin,1992-05-13,4,5.0,St. Louis Rams / 2nd / 57th pick / 2015,2500000.0
Darrell Henderson,,,,,,,,,,,,,,,,IR,,,,,,,,,,,,,
Tyler Higbee,,,O,,,,,,,Q,,,,,,,89.0,26.0,TE,15.0,15.0,255.0,2020-06-06,Western Kentucky,1993-01-01,3,6.0,Los Angeles Rams / 4th / 110th pick / 2016,2025000.0
Troy Hill,,,,,,,,Q,,,,,,,O,D,20.0,28.0,LCB,14.0,9.0,183.0,2020-05-11,Oregon,1991-08-29,4,4.0,,2025000.0
John Johnson,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,43.0,24.0,ss,6.0,5.0,209.0,2000-06-01,Boston Col.,1995-12-19,2,2.0,Los Angeles Rams / 3rd / 91st pick / 2017,677000.0
Micah Kiser,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Justin Lawler,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Clay Matthews,,,,,,O,O,O,,,,,,,,,52.0,33.0,LILB,13.0,13.0,255.0,2020-06-03,USC,1986-05-14,10,5.0,Green Bay Packers / 1st / 26th pick / 2009,3000000.0
Johnny Mundt,,,,,,,,,,Q,,,,,,,,,,,,,,,,,,,
Jojo Natson,,,,,,,,,Q,,,,IR,IR,IR,IR,,,,,,,,,,,,,
Joseph Noteboom,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,70.0,24.0,lg,6.0,6.0,321.0,2020-06-05,TCU,1995-06-19,1,3.0,Los Angeles Rams / 3rd / 89th pick / 2018,626626.0
Natrez Patrick,,,,,,,,,,,Q,,,,,,,,,,,,,,,,,,
Jalen Ramsey,,,,,,,,,,,,,,,,O,,,,,,,,,,,,,
Taylor Rapp,,,,,D,,,,,,,,,,,,24.0,22.0,SS,15.0,10.0,208.0,2000-06-01,Washington,1997-12-22,Rook,5.0,Los Angeles Rams / 2nd / 61st pick / 2019,495000.0
Aqib Talib,,,,,,O,IR,IR,IR,,,,,,,,21.0,33.0,rcb,5.0,5.0,209.0,2020-06-01,Kansas,1986-02-13,11,2.0,Tampa Bay Buccaneers / 1st / 20th pick / 2008,8000000.0
Darious Williams,,,,,,,,,,O,O,O,,,,,,,,,,,,,,,,,
Trevon Young,IR,IR,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greg Zuerlein,,,,,,,,,,,,,,,Q,,,,,,,,,,,,,,
