Player ,09/13vs. DAL,09/20vs. PHI,09/27vs. BUF,10/04vs. NYG,10/11vs. WAS,10/18vs. SFO,10/26vs. CHI,11/01vs. MIA,11/15vs. SEA,11/23vs. TAM,11/29vs. SFO,12/06vs. ARI,12/10vs. NWE,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Cam Akers,,,O,O,,,,,,,,,,23.0,21.0,RB,11.0,3.0,217.0,2020-05-10,Florida St.,1999-06-22,Rook,,Los Angeles Rams / 2nd / 52nd pick / 2020,610000.0
Brian Allen,,,,,,,,,Q,D,Q,,,55.0,25.0,C,,,303.0,2020-06-02,Michigan St.,1995-10-11,2,,Los Angeles Rams / 4th / 111th pick / 2018,750000.0
Chandler Brewer,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Terrell Burgess,,,,,,,,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Bobby Evans,,,,,O,,,,,,,,,71.0,23.0,OL,5.0,0.0,312.0,2020-06-04,Oklahoma,1997-03-24,1,,Los Angeles Rams / 3rd / 97th pick / 2019,675000.0
Gerald Everett,,Q,,,,,,,,,,,,81.0,26.0,TE,13.0,5.0,240.0,2020-06-03,South Alabama,1994-06-25,3,,Los Angeles Rams / 2nd / 44th pick / 2017,1289246.0
Leonard Floyd,,,,,,,,,Q,,,,,54.0,28.0,OLB,13.0,13.0,240.0,2020-06-05,Georgia,1992-09-08,4,,Chicago Bears / 1st / 9th pick / 2016,5000000.0
Kai Forbath,,,,,,,,,,IR,IR,IR,IR,,,,,,,,,,,,,
Jordan Fuller,,,,Q,,IR,IR,IR,IR,,,,,32.0,22.0,S,9.0,9.0,203.0,2020-06-02,Ohio St.,1998-03-04,Rook,,Los Angeles Rams / 6th / 199th pick / 2020,461763.0
Tyler Higbee,,,,,,,Q,Q,,,Q,,,89.0,27.0,TE,12.0,12.0,255.0,2020-06-06,Western Kentucky,1993-01-01,4,,Los Angeles Rams / 4th / 110th pick / 2016,2000000.0
Troy Hill,,,,,Q,,,,,,,,,22.0,29.0,CB,13.0,13.0,183.0,2020-05-11,Oregon,1991-08-29,5,,,2850000.0
Travin Howard,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Micah Kiser,,,,,Q,Q,,,,,,,,,,,,,,,,,,,,
Terrell Lewis,IR,IR,IR,IR,,,,,Q,,D,,,52.0,22.0,LB,6.0,0.0,262.0,2020-06-05,Alabama,1998-08-25,Rook,,Los Angeles Rams / 3rd / 84th pick / 2020,560587.0
Joseph Noteboom,,,IR,IR,IR,IR,,,,,,,,70.0,25.0,OT,7.0,6.0,321.0,2020-06-05,TCU,1995-06-19,2,,Los Angeles Rams / 3rd / 89th pick / 2018,750000.0
Ogbonnia Okoronkwo,,,,,,O,IR,IR,IR,IR,IR,IR,,45.0,25.0,DE,7.0,0.0,253.0,2020-06-02,Oklahoma,1995-04-24,2,,Los Angeles Rams / 5th / 160th pick / 2018,555884.0
Taylor Rapp,,,,,,,,,,IR,IR,IR,IR,,,,,,,,,,,,,
A'Shawn Robinson,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,94.0,25.0,DT,5.0,0.0,330.0,2020-06-04,Alabama,1995-03-21,4,,Detroit Lions / 2nd / 46th pick / 2016,523529.0
Andrew Whitworth,,,,,,,,,,IR,IR,IR,IR,,,,,,,,,,,,,
Darious Williams,,,Q,,,,,,,,,,,31.0,27.0,CB,13.0,8.0,187.0,2020-05-09,Ala-Birmingham,1993-03-15,2,,,750000.0
