Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Age,Pos,Salary
Javorius Allen,,,,,,,,,,,,D,,,,,,,
Kyle Arrington,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Michael Campanaro,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,
Maurice Canady,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Kaelin Clay,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Kamalei Correa,,,,,,,,O,Q,Q,,,,,IR,IR,,,
Carl Davis,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Kenneth Dixon,O,O,O,D,Q,,,,Q,,,,,,,,,,
Elvis Dumervil,O,O,Q,Q,,O,O,O,O,D,D,,,,,,,,
Matt Elam,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,
Joe Flacco,,,,,,,Q,,,,,,,,,,31,QB,22550000
Crockett Gillmore,,,,,,,,O,O,O,D,O,O,Q,,,25,te,726504
Willie Henry,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,,,
Bronson Kaufusi,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Anthony Levine,,,,,,,,,,,,,,Q,Q,,,,
Alex Lewis,,,,Q,,,,,,O,O,O,D,Q,Q,Q,24,LG,572974
Kendrick Lewis,,,,,,Q,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Cavellis Luckett,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Chris Matthews,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Albert McClellan,,,,,,Q,,,,,,,,,,,30,ROLB,1100000
C.J. Mosley,,Q,,,,D,O,Q,,Q,,,,,,,,,
Stephane Nembot,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Zach Orr,,,,,,,,,,,,,,,,O,24,RILB,601000
Breshad Perriman,,Q,,,,,,,,,,,,,,,,,
Dennis Pitta,Q,,,,,,,,,,,,,,,,31,TE,3200000
Jerraud Powers,O,Q,,,,,Q,,,,,,,Q,,,29,db,1750000
Sheldon Price,,,,D,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Jumal Rolle,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Jimmy Smith,,,,,,,Q,,,D,D,Q,,IR,IR,IR,28,RCB,5100000
Za'Darius Smith,,Q,,,,,,,,,,,,,,,,,
Ronnie Stanley,,,Q,D,D,D,Q,Q,,,,,,,,,22,LT,3724423
Terrell Suggs,,,,,,,D,Q,,,,,,,,,34,LOLB,7450000
Lorenzo Taliaferro,IR,IR,IR,IR,IR,IR,,,,D,O,O,O,IR,IR,IR,,,
Brent Urban,,,,,,,,,,,,,,,Q,,,,
John Urschel,Q,Q,Q,Q,,,,,,,,,,,,,,,
Mike Wallace,,,,,,Q,,,,,,,,,,,30,WR,3500000
Ben Watson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Lardarius Webb,,,,,,,,Q,,,,,,,,,31,FS,9500000
De'Ondre Wesley,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Brandon Williams,,,,,,,,,,,Q,,,,,,27,NT,1799750
Maxx Williams,Q,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Shareece Wright,Q,,,,,Q,D,D,O,Q,,,,,,,29,LCB,2093333
Marshal Yanda,,,,,,D,D,Q,D,Q,Q,,Q,,,,,,
Tavon Young,,,,,,,,Q,,,,,,,,,22,LCB,601282
