Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8 ,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Age,Pos,Salary
Kenny Bell,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Brandon Boykin,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Nick Boyle,,,,,,,,,Q,Q,,,,,,,24,TE,615000
Bam Bradley,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Michael Campanaro,,Q,Q,,,,,D,O,Q,IR,,,,,,,,
Maurice Canady,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,Q,Q,,,,
Chuck Clark,,,,,,,,,O,Q,,,,,,,,,
Alex Collins,,,,,,,,,,,,Q,,,,,23,RB,508235
Carl Davis,,,,,,Q,Q,,,,,,,,Q,,25,RDE,630750
Kenneth Dixon,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Jermaine Eluemunor,IR,IR,,,,,,,,,O,O,Q,Q,IR,Q,,,
Joe Flacco,,,,,,,,,Q,,,,,,,,32,QB,6000000
Crockett Gillmore,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Jaylen Hill,,O,O,O,D,Q,Q,,,,,,,,,IR,,,
Austin Howard,,,,,,,,,,,Q,,,,,Q,30,RT,1525000
Marlon Humphrey,,,,,,,,,,,,Q,,,,,,,
Tony Jefferson,,,,,,,,Q,,,,,,,,,25,SS,3000000
Ryan Jensen,,,,,,,,,Q,,,,,Q,,,26,C,1797000
Dieugot Joseph,,,O,,,,,,,,,,,,,,,,
Jeremy Langford,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Anthony Levine,,,Q,,Q,Q,Q,Q,,,,,,,Q,,,,
Alex Lewis,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Jeremy Maclin,,,,,Q,Q,Q,Q,Q,,,,Q,,D,D,29,WR,1000000
Ryan Mallett,,,,,,,,,,,,,,Q,,,,,
Chris Matthews,,,Q,,,,D,D,,,,,,,,,,,
Vince Mayle,,,,,,,,,Q,,,,,,,,,,
Albert McClellan,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Chris Moore,,,,,,,,,,,,,,Q,,,,,
C.J. Mosley,,,,,,,,,,,Q,Q,Q,,,,,,
Patrick Onwuasor,,,,,,,,Q,,,,,,,,,25,RILB,540000
Breshad Perriman,,,,,,Q,O,Q,,,,,,,,,,,
Michael Pierce,,,,,,,,,Q,,,,,,,,25,NT,540000
Sheldon Price,IR,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Patrick Ricard,,,,,,,,,,,,,,,,Q,,,
Al-Hajj Shabazz,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Nico Siragusa,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Matt Skura,,,,,,O,O,Q,,,,,,,,,24,RG,410294
Jimmy Smith,,,,,Q,Q,Q,Q,Q,Q,Q,Q,IR,IR,IR,IR,29,RCB,775000
Za'Darius Smith,,O,Q,,,,,,,,,,D,Q,,,,,
Ronnie Stanley,,,,,,,Q,,Q,D,Q,Q,,,Q,,23,LT,1381106
Terrell Suggs,,,,,,,,Q,,,Q,,,,,,,,
Brent Urban,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Mike Wallace,,,,,,,Q,Q,Q,,,,,Q,,Q,31,WR,4750000
Ben Watson,,,,Q,Q,,Q,Q,,,,,,,,,37,TE,1250000
Lardarius Webb,,,,,Q,,Q,,Q,,,,,,,,,,
Eric Weddle,,,,,,,,Q,,,,,,,,,,,
Terrance West,,,Q,,,O,O,O,O,Q,Q,,,,,,,,
Tim White,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Brandon Williams,,,O,O,O,D,Q,,,,,,,,,Q,28,LDE,775000
Maxx Williams,,,O,O,O,Q,O,O,Q,,,,,,,,23,TE,803431
Tim Williams,,Q,,,,D,O,D,Q,Q,,,,,,,,,
Danny Woodhead,,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,
Marshal Yanda,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Tavon Young,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
