Player,Week ,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10 ,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Age,Pos,Salary
Quincy Adeboyejo,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Anthony Averett,,,O,O,O,O,Q,Q,,,,,,,,,,,
Nick Boyle,,,,,,,,,,,,,,,Q,,25,TE,705000
Bradley Bozeman,,,,,,,,Q,Q,,,,,,,,,,
Bam Bradley,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
John Brown,,,,,,,,,,,,,,,,Q,28,WR,1000000
Maurice Canady,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,
Brandon Carr,,,,Q,Q,Q,,,,,,,,,,,32,LCB,4500000
Alex Collins,,,,,,,,,Q,,IR,Q,IR,IR,IR,IR,24,RB,630000
Kenneth Dixon,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,
Gus Edwards,,,,,,,,,,,,Q,,,,,23,rb,129200
DeShon Elliott,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Joe Flacco,,,,,,,,,,D,O,D,Q,Q,,,33,QB,12000000
Janarion Grant,,Q,,,,,,,,,,,,,,,,,
Willie Henry,O,O,O,O,Q,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Jaylen Hill,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Marlon Humphrey,,,,,,,Q,O,Q,,,,Q,Q,,,22,RCB,1003522
Hayden Hurst,O,O,O,Q,Q,,,,,,,,,,,,,,
James Hurst,,,,,,,Q,O,O,O,O,D,Q,,,,27,RT,1000000
Bennett Jackson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Stanley Jean-Baptiste,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Tony Jefferson,,,,,,,,,Q,Q,,O,D,Q,,,26,SS,1000000
Matt Judon,,,Q,,,,,,,,,,,,Q,,26,ROLB,630000
Jordan Lasley,,,,,,,,,Q,,,,,,,,,,
Anthony Levine,,,,Q,Q,Q,Q,Q,,,Q,Q,Q,Q,Q,Q,,,
Alex Lewis,,,,,Q,,O,D,Q,,Q,,Q,D,Q,Q,26,LG,630000
Steven Moore,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
C.J. Mosley,,,Q,Q,,,,,Q,,,,,,,,,,
Michael Pierce,,,Q,Q,Q,Q,,,,,,,,,,,,,
Jaleel Scott,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Greg Senat,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Jimmy Smith,,,,,,,,Q,,,,,,,,,30,RCB,6882353
Za'Darius Smith,,,,,Q,,,,,,,,,,,,26,ROLB,1907000
Ronnie Stanley,,,Q,Q,,,,,O,Q,,,,,,,24,LT,2312212
Terrell Suggs,,,,Q,,,,,,,,,,,,Q,36,LOLB,4000000
Alex Thompson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
De'Lance Turner,,,,,,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Kaare Vedvik,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Tim Williams,,,,,O,Q,,,O,O,Q,Q,Q,Q,,,,,
Kenny Young,Q,,,,,,,,,,,,,,,,,,
Tavon Young,,,,,,Q,,,,Q,Q,Q,Q,Q,,Q,,,
