Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8 ,Week 9 ,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Age,Pos,Salary
Otaro Alaka,,,,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Mark Andrews,,Q,Q,Q,,Q,,,,,,,,Q,,Q,,,
Anthony Averett,,,,,,,Q,,,,,,,,,,,,
Chris Board,,,,,,,,,,,,,,O,Q,,,,
Tyus Bowser,,Q,,,,,,,,,,,,,,,,,
Miles Boykin,,,,,,,,,,,,Q,,,,,23,WR,495000
Nick Boyle,,,,,,,,,,,,Q,,,,,26,TE,1000000
Bradley Bozeman,,,,,,,,,,,,Q,,,,,25,LG,570000
Marquise Brown,Q,Q,,,,Q,Q,Q,Q,Q,,,Q,,,Q,22,WR,495000
Maurice Canady,,,,,,,Q,Q,,,,,,,,,,,
Brandon Carr,Q,,,,,,,,,,,,,,,,33,CB,4500000
Randin Crecelius,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Kenneth Dixon,IR,,,,,,,,,,,,,,,,,,
Parker Ehinger,,,,,,,,,,,,,,,,,,,
DeShon Elliott,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Marlon Humphrey,,Q,,Q,,,,,,,,,Q,,,,,,
Mark Ingram,,Q,,,,,,,,,,,,,,O,,,
Bennett Jackson,,,,,,,,Q,,,,,,,,,,,
Lamar Jackson,,,,,,,,,Q,,,,,Q,,,,,
Tony Jefferson,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,27,fs,8000000
Alvin Jones,IR,IR,,,,,,,,,,,,,,,,,
Cyrus Jones,Q,,,,Q,,,,,,,,,,,,,,
Matt Judon,,,,,,,,,,,,Q,,,,,,,
Anthony Levine,,,,,,,,,,,,,,Q,,,,,
Daylon Mack,,,,,,,,,Q,IR,IR,IR,IR,IR,IR,IR,,,
Iman Marshall,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,
Pernell McPhee,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,31,lolb,930000
Patrick Mekari,,,,,,,,Q,,,,,,,,,22,c,495000
Chris Moore,,,,,,,,,Q,Q,Q,,,,,,,,
Patrick Onwuasor,,,,,,Q,Q,Q,,,,,Q,,,,27,lilb,3095000
Domata Peko,,,,,,,,,,,,Q,,,,,,,
Marcus Peters,,,,,,,,,,,,,,,,Q,,,
Michael Pierce,,,,,,,,,,D,D,Q,,,,,27,NT,3095000
Ben Powers,,,,,,,,,,,Q,,,,,,,,
Patrick Ricard,Q,,Q,,,,,,,,,,,,,,,,
Seth Roberts,,,,,,,,,,,,,Q,,,,,,
Matt Skura,,,,,Q,,,,,,,IR,IR,IR,IR,IR,26,C,645000
Jimmy Smith,,O,O,O,O,O,D,Q,,,,,,,,Q,31,db,9500000
Fish Smithson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Ronnie Stanley,,,,,,,Q,,Q,,Q,,,D,Q,,,,
Earl Thomas,,,,,,,,Q,Q,,,,,,,Q,,,
Brynden Trawick,,,O,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,
Jihad Ward,,,,,,,,,,,,,,Q,,,,,
Brandon Williams,,,,,Q,,,,,,,,,,,,30,LDE,9250000
Marshal Yanda,,,,,,,,,Q,,,,,,,,,,
Tavon Young,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
