Player ,09/10vs. NWE,09/20vs. SFO,09/27vs. STL,10/01vs. BAL,10/12vs. SDG,10/18vs. ARI,10/25vs. KAN,11/01vs. CIN,11/08vs. OAK,11/15vs. CLE,11/29vs. SEA,12/06vs. IND,12/13vs. CIN,12/20vs. DEN,12/27vs. BAL,01/03vs. CLE,01/09vs. CIN,01/17vs. DEN,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Mike Adams,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Cortez Allen,,IR,IR,IR,IR,IR,Q,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,,,,,,,,,,,,,
Will Allen,,P,,,,O,O,O,P,,,P,,P,P,P,P,P,20.0,33.0,SS,13.0,13.0,202.0,2020-06-01,Ohio St.,1982-06-17,11,5.0,Tampa Bay Buccaneers / 4th / 111th pick / 2004,665000.0
Kelvin Beachum,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,68.0,26.0,lt,6.0,6.0,308.0,2020-06-03,SMU,1989-06-08,3,3.0,Pittsburgh Steelers / 7th / 248th pick / 2012,1553474.0
Le'Veon Bell,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,26.0,23.0,rb,6.0,6.0,225.0,2020-06-01,Michigan St.,1992-02-18,2,5.0,Pittsburgh Steelers / 2nd / 48th pick / 2013,1032082.0
Antwon Blake,,,,,,,P,,,,,,,,,P,,,41.0,25.0,RCB,16.0,16.0,198.0,2020-05-09,Texas-El Paso,1990-08-09,3,7.0,,1542000.0
Rob Blanchflower,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Brandon Boykin,,P,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,
Antonio Brown,,,,,,,,,,,,,,,,,,O,,,,,,,,,,,,,
Martavis Bryant,,,,,,,,,P,,,P,,,,Q,P,,10.0,24.0,wr,11.0,5.0,210.0,2020-06-04,Clemson,1991-12-20,1,7.0,Pittsburgh Steelers / 4th / 118th pick / 2014,499805.0
Sammie Coates,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,
Bud Dupree,,,,,,,,,,,,,,P,,,,,48.0,22.0,lolb,16.0,5.0,269.0,2020-06-04,Kentucky,1993-02-12,Rook,3.0,Pittsburgh Steelers / 1st / 22nd pick / 2015,1676778.0
Terence Garvin,,,,,,,,O,O,O,P,,,,,,,,,,,,,,,,,,,,
William Gay,,,P,,,,P,P,P,,,,P,P,P,P,P,,22.0,30.0,LCB,16.0,16.0,187.0,2020-05-10,Louisville,1985-01-01,8,7.0,Pittsburgh Steelers / 5th / 170th pick / 2007,1666668.0
Marcus Gilbert,,,,,,,,,,P,,,,,,,,,77.0,27.0,RT,16.0,16.0,330.0,2020-06-06,Florida,1988-02-15,4,9.0,Pittsburgh Steelers / 2nd / 63rd pick / 2011,3256000.0
Robert Golden,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,
Bruce Gradkowski,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Doran Grant,,,,,,,,,,,,,,,,Q,,,,,,,,,,,,,,,
James Harrison,,,,P,,P,P,P,P,O,P,P,P,P,P,P,P,P,,,,,,,,,,,,,
