Player ,09/12vs. WAS,09/18vs. CIN,09/25vs. PHI,10/02vs. KAN,10/09vs. NYJ,10/16vs. MIA,10/23vs. NWE,11/06vs. BAL,11/13vs. DAL,11/20vs. CLE,11/24vs. IND,12/04vs. NYG,12/11vs. BUF,12/18vs. CIN,12/25vs. BAL,01/01vs. CLE,01/08vs. MIA,01/15vs. KAN,01/22vs. NWE,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Chris Boswell,,,,,,,,,,,,Q,Q,,,,,,,,,,,,,,,,,,,
Anthony Chickillo,,,,,,,,,,,,,,,Q,Q,O,O,,56.0,24.0,LOLB,15.0,7.0,255.0,2020-06-03,Miami (FL),1992-12-10,1,4.0,Pittsburgh Steelers / 6th / 212th pick / 2015,525000.0
Sammie Coates,,,,,,Q,,,,,,,,,D,,,,,14.0,23.0,wr,14.0,5.0,210.0,2020-06-01,Auburn,1993-03-31,1,4.0,Pittsburgh Steelers / 3rd / 87th pick / 2015,682878.0
Jordan Dangerfield,,,,,,,,,O,Q,,,,,,,,,,,,,,,,,,,,,,
Bud Dupree,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,,,,,,,,,,,
Ramon Foster,,,Q,O,,,,,,,,,Q,,,,,,,73.0,30.0,LG,14.0,14.0,328.0,2020-06-05,Tennessee,1986-01-07,7,6.0,,2416666.0
William Gay,,,,,,,,Q,,,,,,,,,,,,22.0,31.0,LCB,16.0,9.0,187.0,2020-05-10,Louisville,1985-01-01,9,4.0,Pittsburgh Steelers / 5th / 170th pick / 2007,2483333.0
Justin Gilbert,,,,,O,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcus Gilbert,,,,,O,O,O,,,,,,,,,,,,,77.0,28.0,RT,13.0,13.0,330.0,2020-06-06,Florida,1988-02-15,5,7.0,Pittsburgh Steelers / 2nd / 63rd pick / 2011,4068500.0
Robert Golden,,,,O,O,,,,,,,,,,,O,Q,,,21.0,26.0,ss,13.0,7.0,202.0,2020-05-11,Arizona,1990-09-13,4,4.0,,1176666.0
Senquez Golson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Bruce Gradkowski,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Ladarius Green,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,D,O,Q,D,Q,,,,,,,,,,,,,
Xavier Grimble,,,,,,,,,,Q,O,,,,,Q,,,,,,,,,,,,,,,,
