Player ,09/10vs. CLE,09/17vs. MIN,09/24vs. CHI,10/01vs. BAL,10/08vs. JAX,10/15vs. KAN,10/22vs. CIN,10/29vs. DET,11/12vs. IND,11/16vs. TEN,11/26vs. GNB,12/04vs. CIN,12/10vs. BAL,12/17vs. NWE,12/25vs. HOU,12/31vs. CLE,01/14vs. JAX,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Keion Adams,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Antonio Brown,,,,,,,,,,,,Q,,,O,O,Q,,,,,,,,,,,,,
Sammie Coates,,,IR,IR,,,,,,IR,IR,IR,,,IR,,IR,,,,,,,,,,,,,
James Conner,,,,,,,,,,,,,,,IR,IR,IR,,,,,,,,,,,,,
Jordan Dangerfield,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Sean Davis,,,,Q,,,,,,,,,,,,,,28.0,24.0,SS,16.0,16.0,202.0,2020-06-01,Maryland,1993-10-23,1,6.0,Pittsburgh Steelers / 2nd / 58th pick / 2016,635771.0
Greg Ducre,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Bud Dupree,Q,,,,,,,,,,,,,,,,,48.0,24.0,LOLB,15.0,15.0,269.0,2020-06-04,Kentucky,1993-02-12,2,7.0,Pittsburgh Steelers / 1st / 22nd pick / 2015,1273390.0
Ramon Foster,,,,Q,,Q,,,,,,,,,Q,,,73.0,31.0,LG,14.0,14.0,328.0,2020-06-05,Tennessee,1986-01-07,8,6.0,,2675000.0
Marcus Gilbert,,,O,Q,D,,D,O,,,,,,,,,,77.0,29.0,rt,7.0,7.0,330.0,2020-06-06,Florida,1988-02-15,6,4.0,Pittsburgh Steelers / 2nd / 63rd pick / 2011,4000000.0
Joe Haden,,,,,,,,,,O,O,O,O,Q,,,,21.0,28.0,LCB,11.0,11.0,195.0,2020-05-11,Florida,1989-04-14,7,4.0,Cleveland Browns / 1st / 7th pick / 2010,1250000.0
James Harrison,,,,Q,,,,,O,Q,,,,,,,,,,,,,,,,,,,,
Jerald Hawkins,O,O,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyler Matakevich,,,,,,,,,,,,,O,,,,,,,,,,,,,,,,,
Mike Matthews,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Vance McDonald,,Q,,,,,,O,,Q,O,O,,O,,,,89.0,27.0,TE,10.0,7.0,267.0,2020-06-04,Rice,1990-06-13,4,2.0,San Francisco 49ers / 2nd / 55th pick / 2013,2100000.0
Mike Mitchell,,,,Q,,,,,,Q,Q,D,Q,,,,,23.0,30.0,FS,13.0,13.0,221.0,2020-06-01,Ohio,1987-06-10,8,4.0,Oakland Raiders / 2nd / 47th pick / 2009,5000000.0
Maurkice Pouncey,,,,,,,,,,,,,,,,Q,,,,,,,,,,,,,,
Coty Sensabaugh,,,,,,,,,,,,,,Q,Q,,,,,,,,,,,,,,,
Canaan Severin,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Ryan Shazier,,,,,,,,,,,,,IR,IR,IR,IR,IR,,,,,,,,,,,,,
JuJu Smith-Schuster,,,,,,,,,,,O,,,Q,,,,19.0,21.0,wr,14.0,7.0,215.0,2020-06-01,USC,1996-11-22,Rook,10.0,Pittsburgh Steelers / 2nd / 62nd pick / 2017,465000.0
Dez Stewart,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Cameron Sutton,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,,,,,,,
Stephon Tuitt,,Q,Q,,,,O,O,,,,,,,,,,91.0,24.0,RDE,12.0,12.0,303.0,2020-06-06,Notre Dame,1993-05-23,3,5.0,Pittsburgh Steelers / 2nd / 46th pick / 2014,1000000.0
T.J. Watt,,,O,,,,,,,,,,,,,,,90.0,23.0,ROLB,15.0,15.0,252.0,2020-06-04,Wisconsin,1994-10-11,Rook,7.0,Pittsburgh Steelers / 1st / 30th pick / 2017,465000.0
J.J. Wilcox,,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,
