Player ,09/08vs. NWE,09/15vs. SEA,09/22vs. SFO,09/30vs. CIN,10/06vs. BAL,10/13vs. LAC,10/28vs. MIA,11/03vs. IND,11/10vs. LAR,11/14vs. CLE,11/24vs. CIN,12/01vs. CLE,12/08vs. ARI,12/15vs. BUF,12/22vs. NYJ,12/29vs. BAL,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Mark Barron,,,,,,O,Q,,,,,,,,,,26.0,30.0,IL,15.0,9.0,230.0,2020-06-02,Alabama,1989-10-27,7,6.0,Tampa Bay Buccaneers / 1st / 7th pick / 2012,1000000.0
Artie Burns,,,,,,,,,,,D,Q,,,,,,,,,,,,,,,,,
Anthony Chickillo,,,O,O,O,,,,,Q,,,,,,,,,,,,,,,,,,,
James Conner,,,,,,,,D,O,,O,D,O,Q,,O,30.0,24.0,RB,10.0,10.0,233.0,2020-06-01,Pittsburgh,1995-05-05,2,5.0,Pittsburgh Steelers / 3rd / 105th pick / 2017,668000.0
Sean Davis,D,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Jayrone Elliott,,,,Q,,,,,,,,,,,,,,,,,,,,,,,,,
Ramon Foster,,,,,,,,O,O,,,,,,,,73.0,33.0,G,14.0,14.0,328.0,2020-06-05,Tennessee,1986-01-07,10,5.0,,1100000.0
Ulysees Gilbert,,,,,,,Q,,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Xavier Grimble,,,,IR,IR,,,,,,,,,,,,,,,,,,,,,,,,
Joe Haden,,Q,,,,,,,,Q,,,,,,,,,,,,,,,,,,,
Lavon Hooks,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Vance McDonald,,,,D,Q,,,,,,,,,O,,,89.0,29.0,TE,14.0,14.0,267.0,2020-06-04,Rice,1990-06-13,6,2.0,San Francisco 49ers / 2nd / 55th pick / 2013,4200000.0
Steven Nelson,,,,,,Q,,,,,,,,,,,22.0,26.0,RCB,15.0,15.0,194.0,2020-05-11,Oregon St.,1993-01-22,4,6.0,Kansas City Chiefs / 3rd / 98th pick / 2015,1500000.0
Roosevelt Nix,,O,O,O,O,O,,Q,O,O,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Maurkice Pouncey,,Q,,,,,,,,,,,,,,O,,,,,,,,,,,,,
Ben Roethlisberger,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Mason Rudolph,,,,,,O,,,,,,,,,,IR,2.0,24.0,QB,10.0,8.0,235.0,2020-06-05,Oklahoma St.,1995-07-17,1,3.0,Pittsburgh Steelers / 3rd / 76th pick / 2018,658267.0
Jaylen Samuels,,,,,,O,Q,,,,,,,,,,,,,,,,,,,,,,
Ryan Shazier,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,,,,,,,,,,,,,
JuJu Smith-Schuster,,,,,Q,,,,Q,,O,O,O,O,,,19.0,23.0,WR,12.0,12.0,215.0,2020-06-01,USC,1996-11-22,2,4.0,Pittsburgh Steelers / 2nd / 62nd pick / 2017,846434.0
Benny Snell Jr.,,,,,,,,O,O,O,,,,,,,,,,,,,,,,,,,
Ryan Switzer,,,,,,,,,,O,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Stephon Tuitt,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,91.0,26.0,RDE,6.0,6.0,303.0,2020-06-06,Notre Dame,1993-05-23,5,3.0,Pittsburgh Steelers / 2nd / 46th pick / 2014,6000000.0
Leterrius Walton,,,,,,,,,,,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
James Washington,,,,,,O,,,,,,,,,,,13.0,23.0,WR,15.0,10.0,213.0,2020-05-11,Oklahoma St.,1996-04-02,1,6.0,Pittsburgh Steelers / 2nd / 60th pick / 2018,684607.0
Vince Williams,,,O,O,Q,,,,,,,,,,,,98.0,30.0,RILB,14.0,8.0,233.0,2020-06-01,Florida St.,1989-12-27,6,5.0,Pittsburgh Steelers / 6th / 206th pick / 2013,805000.0
