Player ,09/14vs. NYG,09/20vs. DEN,09/27vs. HOU,10/11vs. PHI,10/18vs. CLE,10/25vs. TEN,11/01vs. BAL,11/08vs. DAL,11/15vs. CIN,11/22vs. JAX,12/02vs. BAL,12/07vs. WAS,12/13vs. BUF,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Marcus Allen,,,,O,,,,,,,,,,27.0,24.0,S,12.0,1.0,215.0,2020-06-02,Penn St.,1996-08-07,2,,Pittsburgh Steelers / 5th / 148th pick / 2018,675000.0
Tyson Alualu,,,,,,,,O,,,,,,94.0,33.0,DT,12.0,7.0,304.0,2020-06-03,California,1987-05-12,10,,Jacksonville Jaguars / 1st / 10th pick / 2010,2750000.0
Zach Banner,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Isaiah Buggs,,,,,,,,,Q,,C19,,,96.0,24.0,DL,9.0,1.0,295.0,2020-06-03,Alabama,1996-08-24,1,,Pittsburgh Steelers / 6th / 192nd pick / 2019,675000.0
Devin Bush Jr.,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
James Conner,,,,,,,,,,,C19,C19,C19,30.0,25.0,RB,11.0,10.0,233.0,2020-06-01,Pittsburgh,1995-05-05,3,,Pittsburgh Steelers / 3rd / 105th pick / 2017,825000.0
Jordan Dangerfield,,,,,,,O,,,,,,,37.0,30.0,FS,12.0,0.0,199.0,2020-05-11,Towson,1990-12-25,6,,,825000.0
David DeCastro,O,O,,,O,,,,,,,,,66.0,30.0,G,10.0,10.0,316.0,2020-06-05,Stanford,1990-01-11,8,,Pittsburgh Steelers / 1st / 24th pick / 2012,1050000.0
Kevin Dotson,,,,,,,,,Q,C19,C19,,,69.0,24.0,OL,11.0,2.0,321.0,2020-06-04,Louisiana,1996-09-18,Rook,,Pittsburgh Steelers / 4th / 135th pick / 2020,610000.0
Bud Dupree,,,,,,,,,,,,IR,IR,,,,,,,,,,,,,
Trey Edmunds,,,,,,,,,,O,IR,IR,IR,,,,,,,,,,,,,
Jayrone Elliott,,,,,,,,,,O,,,,45.0,29.0,LB,5.0,0.0,240.0,2020-06-03,Toledo,1991-11-11,6,,,481765.0
Matt Feiler,,,,,,,,,,,,,,,,,,,,,,,,,,
Zach Gentry,,,,,,,,,,,IR,IR,IR,,,,,,,,,,,,,
Ulysees Gilbert,,,,,,,O,IR,,,,,,54.0,23.0,LB,3.0,0.0,230.0,2000-06-01,Akron,1997-08-09,1,,Pittsburgh Steelers / 6th / 207th pick / 2019,542648.0
Joe Haden,,,,,,,,,,,Q,,,23.0,31.0,DB,12.0,12.0,195.0,2020-05-11,Florida,1989-04-14,10,,Cleveland Browns / 1st / 7th pick / 2010,1050000.0
Jerald Hawkins,,,,,,,,,C19,,C19,C19,,65.0,27.0,OT,10.0,0.0,305.0,2020-06-06,LSU,1993-10-16,3,,Pittsburgh Steelers / 4th / 123rd pick / 2016,705888.0
Mike Hilton,,,,,,O,Q,D,Q,,,,,28.0,26.0,CB,9.0,6.0,184.0,2020-05-09,Mississippi,1994-03-09,3,,,3259000.0
Diontae Johnson,,,,,O,,,,,,,,,18.0,24.0,WR,12.0,11.0,183.0,2020-05-10,Toledo,1996-07-05,1,,Pittsburgh Steelers / 3rd / 66th pick / 2019,689589.0
Vance McDonald,,,,,,,,Q,C19,C19,C19,,,89.0,30.0,TE,11.0,9.0,267.0,2020-06-04,Rice,1990-06-13,7,,San Francisco 49ers / 2nd / 55th pick / 2013,1100000.0
Anthony McFarland Jr.,,,,,,,,,Q,,,,,26.0,21.0,RB,9.0,0.0,208.0,2020-05-08,Maryland,1999-03-04,Rook,,Pittsburgh Steelers / 4th / 124th pick / 2020,
Maurkice Pouncey,,,,,,,,,,,,C19,C19,53.0,31.0,C,11.0,11.0,304.0,2020-06-04,Florida,1989-07-24,10,,Pittsburgh Steelers / 1st / 18th pick / 2010,1050000.0
Jaylen Samuels,,,,,,,,,C19,O,O,,,38.0,24.0,RB,11.0,0.0,225.0,2000-06-01,North Carolina St.,1996-07-20,2,,Pittsburgh Steelers / 5th / 165th pick / 2018,750000.0
Robert Spillane,,,,,,,,,,,,,IR,,,,,,,,,,,,,
Derek Watt,,,,O,,O,Q,,,,,,,44.0,28.0,FB,9.0,0.0,234.0,2020-06-02,Wisconsin,1992-11-07,4,,San Diego Chargers / 6th / 198th pick / 2016,1000000.0
Vince Williams,,,,,,,,,C19,,,,C19,,,,,,,,,,,,,
Stefen Wisniewski,,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,,,,,,
Chris Wormley,,,,,,,IR,IR,IR,IR,,,,95.0,27.0,DT,10.0,0.0,300.0,2020-06-05,Michigan,1993-10-25,3,,Baltimore Ravens / 3rd / 74th pick / 2017,2133000.0
