Player ,09/13vs. KAN,09/20vs. CAR,09/27vs. TAM,10/04vs. ATL,10/08vs. IND,10/18vs. JAX,10/25vs. MIA,11/01vs. TEN,11/16vs. CIN,11/22vs. NYJ,11/29vs. NOR,12/06vs. BUF,12/13vs. NWE,12/20vs. IND,12/27vs. TEN,01/03vs. JAX,01/09vs. KAN,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Oday Aboushi,,,,,,P,P,,,,,,,,,,,,,,,,,,,,,,,
Jeff Adams,,P,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Lonnie Ballentine,O,O,O,O,Q,P,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Alfred Blue,,,,,,Q,P,,,,P,P,P,P,P,P,P,28.0,24.0,RB,16.0,9.0,225.0,2020-06-02,LSU,1991-04-27,1,5.0,Houston Texans / 6th / 181st pick / 2014,539483.0
A.J. Bouye,,,,,,P,,,,,P,,,,,P,P,,,,,,,,,,,,,
Brandon Brooks,,,,P,,,Q,Q,,,,,P,,,,,79.0,26.0,RG,14.0,14.0,335.0,2020-06-05,Miami (OH),1989-08-19,3,6.0,Houston Texans / 3rd / 76th pick / 2012,1696359.0
Duane Brown,P,Q,O,Q,P,P,P,,P,,,,P,,,,IR,76.0,30.0,LT,14.0,14.0,315.0,2020-06-04,Virginia Tech,1985-08-30,7,7.0,Houston Texans / 1st / 26th pick / 2008,9500000.0
Max Bullough,,,,,P,,,,P,P,P,P,P,P,P,P,P,,,,,,,,,,,,,
Chris Clark,,,P,,,,,,,,,,,,,,,74.0,30.0,rt,11.0,4.0,305.0,2020-06-05,Southern Miss,1985-10-01,5,2.0,,1400000.0
Reshard Cliett,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Jadeveon Clowney,P,,,P,P,O,Q,P,O,P,P,,P,P,P,O,Q,90.0,22.0,ROLB,13.0,9.0,255.0,2020-06-05,South Carolina,1993-02-14,1,5.0,Houston Texans / 1st / 1st pick / 2014,5062045.0
Christian Covington,P,P,,,,,,,,,P,,P,O,P,,,,,,,,,,,,,,,
Jared Crick,,,,,,Q,,,,P,,,,,Q,P,,93.0,26.0,LDE,16.0,16.0,285.0,2020-06-04,Nebraska,1989-08-21,3,9.0,Houston Texans / 4th / 126th pick / 2012,1639875.0
Brian Cushing,,,,,P,P,P,,,P,,,,P,,,,56.0,28.0,LILB,16.0,16.0,255.0,2020-06-03,USC,1987-01-24,6,9.0,Houston Texans / 1st / 15th pick / 2009,7891250.0
B.J. Daniels,,,,,,,,,,,,,,,P,P,,,,,,,,,,,,,,
Quintin Demps,,,,,O,O,Q,P,,,,,,P,,,P,27.0,30.0,SS,14.0,13.0,203.0,2000-06-01,Texas-El Paso,1985-06-29,7,6.0,Philadelphia Eagles / 4th / 117th pick / 2008,585000.0
Akeem Dent,,,,O,O,P,P,O,P,Q,P,P,,,,,,,,,,,,,,,,,,
Kurtis Drummond,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,
C.J. Fiedorowicz,,,Q,,,P,,,,,,,,,,,,87.0,24.0,TE,16.0,14.0,265.0,2020-06-05,Iowa,1991-10-22,1,1.0,Houston Texans / 3rd / 65th pick / 2014,730826.0
Arian Foster,O,O,O,Q,P,P,P,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Ryan Griffin,,IR,IR,IR,IR,IR,IR,IR,,,,,,P,P,P,P,,,,,,,,,,,,,
Jonathan Grimes,,,Q,O,O,P,P,,,,,,,,,,,,,,,,,,,,,,,
Andre Hal,,,,,,,P,,,,,,,,,,,29.0,23.0,FS,16.0,11.0,184.0,2020-05-10,Vanderbilt,1992-05-30,1,6.0,Houston Texans / 7th / 216th pick / 2014,527281.0
DeAndre Hopkins,,,P,,,,,,,P,,P,P,,,,P,,,,,,,,,,,,,
Brian Hoyer,,,,,,,,,,O,P,,,O,Q,P,,7.0,30.0,QB,11.0,9.0,216.0,2020-06-02,Michigan St.,1985-10-13,6,7.0,,5218750.0
Kareem Jackson,,,,,,P,O,O,O,O,P,P,P,P,P,P,P,25.0,27.0,LCB,12.0,10.0,183.0,2020-05-10,Alabama,1988-04-10,5,5.0,Houston Texans / 1st / 20th pick / 2010,7453125.0
Charles James,,,,,,,,Q,P,P,P,P,P,,,IR,IR,,,,,,,,,,,,,
Kevin Johnson,,P,,,,,,,,P,,,,,,P,P,30.0,23.0,LCB,16.0,10.0,185.0,2000-06-01,Wake Forest,1992-08-05,Rook,5.0,Houston Texans / 1st / 16th pick / 2015,1827166.0
Ben Jones,,,,,,,P,P,P,P,P,P,P,P,P,P,P,60.0,26.0,C,16.0,16.0,308.0,2020-06-03,Georgia,1989-07-02,3,7.0,Houston Texans / 4th / 99th pick / 2012,1662362.0
Johnathan Joseph,,,,P,P,,,,,P,P,P,P,,,,,24.0,31.0,RCB,16.0,16.0,186.0,2020-05-11,South Carolina,1984-04-16,9,7.0,Cincinnati Bengals / 1st / 24th pick / 2006,11750000.0
Shane Lechler,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,
Ryan Mallett,,,,P,P,,,,,,,,,,,,,,,,,,,,,,,,,
Greg Mancz,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Benardrick McKinney,P,,,,,,O,O,P,,,,,,,,,55.0,23.0,RILB,14.0,11.0,257.0,2020-06-04,Mississippi St.,1992-11-19,Rook,6.0,Houston Texans / 2nd / 43rd pick / 2015,971840.0
Whitney Mercilus,,,,,Q,,,,,,P,P,P,P,P,P,P,59.0,25.0,LOLB,16.0,10.0,258.0,2020-06-04,Illinois,1990-07-21,3,7.0,Houston Texans / 1st / 26th pick / 2012,2979030.0
Mike Mohamed,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Rahim Moore,,,,,,,,,,,,,,,O,P,,26.0,25.0,fs,7.0,6.0,195.0,2020-06-01,UCLA,1990-02-11,4,3.0,Denver Broncos / 2nd / 45th pick / 2011,3000000.0
Derek Newton,,,P,P,P,P,P,P,P,,P,P,P,,P,P,P,72.0,28.0,RT,16.0,16.0,315.0,2020-06-06,Arkansas St.,1987-11-16,4,7.0,Houston Texans / 7th / 214th pick / 2011,4500000.0
Nick Novak,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,
Jeoffrey Pagan,,,,,,,,,,,,,,,,Q,,,,,,,,,,,,,,
Brian Peters,,,,,,Q,P,,,P,,,,,,P,,,,,,,,,,,,,,
Eddie Pleasant,,,,P,P,,,,,,P,,,,,,,,,,,,,,,,,,,
Chris Polk,,,,,Q,P,P,P,P,Q,P,,P,P,P,P,P,,,,,,,,,,,,,
Jay Prosch,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,
David Quessenberry,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Tom Savage,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Cecil Shorts,,,,,O,P,O,O,P,,,,P,,O,O,P,18.0,28.0,WR,11.0,4.0,200.0,2000-06-01,Mount Union,1987-12-22,4,4.0,Jacksonville Jaguars / 4th / 114th pick / 2011,2453125.0
John Simon,,,,,,,,,,,,P,,,,,P,51.0,25.0,ROLB,16.0,8.0,260.0,2020-06-02,Ohio St.,1990-10-14,2,6.0,Baltimore Ravens / 4th / 129th pick / 2013,585000.0
Jaelen Strong,,,,,,Q,,,,,,,,,,,,,,,,,,,,,,,,
Xavier Su'a-Filo,O,O,Q,P,P,,,,,,,P,,,P,P,,71.0,24.0,LG,11.0,9.0,310.0,2020-06-04,UCLA,1991-01-01,1,4.0,Houston Texans / 2nd / 33rd pick / 2014,1261727.0
Carlos Thompson,O,P,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Nate Washington,,P,,,O,O,P,,P,P,P,,,,,,P,85.0,32.0,WR,14.0,14.0,183.0,2020-06-01,Tiffin,1983-08-28,10,5.0,,615000.0
J.J. Watt,,,,,,,,Q,,,,P,P,P,P,P,P,,,,,,,,,,,,,
Vince Wilfork,,,,,P,,,,,,,,,,,,,75.0,34.0,NT,16.0,16.0,325.0,2020-06-02,Miami (FL),1981-11-04,11,8.0,New England Patriots / 1st / 21st pick / 2004,3500000.0
T.J. Yates,,,,,,,,,,,,,,,IR,IR,IR,,,,,,,,,,,,,
