Player ,09/11vs. CHI,09/18vs. KAN,09/22vs. NWE,10/02vs. TEN,10/09vs. MIN,10/16vs. IND,10/24vs. DEN,10/30vs. DET,11/13vs. JAX,11/21vs. OAK,11/27vs. SDG,12/04vs. GNB,12/11vs. IND,12/18vs. JAX,12/24vs. CIN,01/01vs. TEN,01/07vs. OAK,01/14vs. NWE,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Jeff Allen,,Q,,,,O,,,,,,,,O,,,,,79.0,26.0,RG,14.0,14.0,306.0,2020-06-04,Illinois,1990-01-08,4,5.0,Kansas City Chiefs / 2nd / 44th pick / 2012,6250000.0
Stephen Anderson,,,,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,
Lonnie Ballentine,IR,IR,IR,IR,IR,IR,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Alfred Blue,,,,,,,,,,O,O,Q,,,,,,,,,,,,,,,,,,,
Duane Brown,O,O,O,O,Q,,,,,,,,,,,,,,76.0,31.0,LT,12.0,12.0,315.0,2020-06-04,Virginia Tech,1985-08-30,8,5.0,Houston Texans / 1st / 26th pick / 2008,9500000.0
Jadeveon Clowney,,,,,,,,Q,,,,Q,Q,,,O,,,,,,,,,,,,,,,
Christian Covington,,Q,,,,,,,,,,,,,,,,,95.0,23.0,lde,16.0,5.0,305.0,2020-06-02,Rice,1993-10-16,1,4.0,Houston Texans / 6th / 216th pick / 2015,547622.0
Brian Cushing,,O,O,Q,,,,,,,,Q,Q,,,Q,,,56.0,29.0,LILB,13.0,13.0,255.0,2020-06-03,USC,1987-01-24,7,6.0,Houston Texans / 1st / 15th pick / 2009,5000000.0
K.J. Dillon,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Kurtis Drummond,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Tyler Ervin,,,,,,,,,,,O,O,O,Q,,,,,,,,,,,,,,,,,
Ka'imi Fairbairn,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
C.J. Fiedorowicz,,,,,,,,,,,,,,O,,,,,87.0,25.0,TE,15.0,15.0,265.0,2020-06-05,Iowa,1991-10-22,2,4.0,Houston Texans / 3rd / 65th pick / 2014,860826.0
Dalton Freeman,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Will Fuller,,,,,,Q,,,Q,Q,,,,,,,,,15.0,22.0,WR,14.0,13.0,184.0,2000-06-01,Notre Dame,1994-04-16,Rook,6.0,Houston Texans / 1st / 21st pick / 2016,1848057.0
Jonathan Grimes,,,,O,O,O,,Q,Q,O,,,,,,,,,,,,,,,,,,,,,
Andre Hal,,,,,,,,,,,,Q,,,,,,,29.0,24.0,FS,15.0,11.0,184.0,2020-05-10,Vanderbilt,1992-05-30,2,5.0,Houston Texans / 7th / 216th pick / 2014,617281.0
Kareem Jackson,,,,,Q,Q,,,,,,,,,,,,,25.0,28.0,DB,14.0,13.0,183.0,2020-05-10,Alabama,1988-04-10,6,5.0,Houston Texans / 1st / 20th pick / 2010,8437500.0
Kevin Johnson,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Johnathan Joseph,,,,,,,,,,,,,Q,Q,Q,Q,,,24.0,32.0,LCB,13.0,11.0,186.0,2020-05-11,South Carolina,1984-04-16,10,4.0,Cincinnati Bengals / 1st / 24th pick / 2006,7000000.0
Nick Martin,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Whitney Mercilus,,,,,,,,,,,,,,Q,,,,,59.0,26.0,LOLB,15.0,15.0,258.0,2020-06-04,Illinois,1990-07-21,4,13.0,Houston Texans / 1st / 26th pick / 2012,5800000.0
Braxton Miller,,,O,O,,,,,,,,,IR,IR,IR,IR,IR,IR,13.0,24.0,WR,10.0,6.0,215.0,2020-06-02,Ohio St.,1992-11-30,Rook,1.0,Houston Texans / 3rd / 85th pick / 2016,627275.0
Lamar Miller,,,,,,,,Q,,,,,,,Q,O,,,26.0,25.0,RB,14.0,14.0,221.0,2020-05-10,Miami (FL),1991-04-25,4,7.0,Miami Dolphins / 4th / 97th pick / 2012,5500000.0
Derek Newton,,Q,,,,Q,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,72.0,29.0,rt,6.0,6.0,315.0,2020-06-06,Arkansas St.,1987-11-16,5,3.0,Houston Texans / 7th / 214th pick / 2011,5500000.0
Brian Peters,,,,,,O,,O,Q,,,,,,,,,,,,,,,,,,,,,,
Jay Prosch,,,,,,,,,,Q,Q,,,,,O,,,,,,,,,,,,,,,
Gerald Rivers,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Tom Savage,,,,,,,,,,,,,O,,,,O,,,,,,,,,,,,,,
Brennan Scarlett,,,,,,,IR,IR,IR,IR,IR,IR,IR,,IR,,,,,,,,,,,,,,,,
Devon Still,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Jaelen Strong,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Soma Vainuku,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Tony Washington,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,IR,IR,,,,,,,,,,,,,
J.J. Watt,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Vince Wilfork,,,,,,,,,Q,Q,,,,,,,,,75.0,35.0,NT,15.0,15.0,325.0,2020-06-02,Miami (FL),1981-11-04,12,7.0,New England Patriots / 1st / 21st pick / 2004,5500000.0
