Player ,09/10vs. JAX,09/14vs. CIN,09/24vs. NWE,10/01vs. TEN,10/08vs. KAN,10/15vs. CLE,10/29vs. SEA,11/05vs. IND,11/12vs. LAR,11/19vs. ARI,11/27vs. BAL,12/03vs. TEN,12/10vs. SFO,12/17vs. JAX,12/25vs. PIT,12/31vs. IND,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Jeff Allen,,O,O,,,,,,,,,,,,O,O,79.0,27.0,RT,12.0,12.0,306.0,2020-06-04,Illinois,1990-01-08,5,5.0,Kansas City Chiefs / 2nd / 44th pick / 2012,4750000.0
Stephen Anderson,,O,,,,,,,,,,,,,,,89.0,24.0,te,15.0,5.0,230.0,2020-06-03,California,1993-01-30,1,3.0,,540000.0
Alfred Blue,O,O,Q,,,,,,,Q,,,O,,,,,,,,,,,,,,,,
Marcus Burley,,,,Q,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Clark,,,,,,,O,,,,,IR,IR,IR,IR,IR,74.0,32.0,LT,10.0,8.0,305.0,2020-06-05,Southern Miss,1985-10-01,7,4.0,,2750000.0
Jadeveon Clowney,,,,,,,,,,,,,,Q,,,,,,,,,,,,,,,
Dylan Cole,,,,,,,O,O,O,O,,,,,,,,,,,,,,,,,,,
Christian Covington,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Brian Cushing,,O,,,,,,,,,,,,,,,56.0,30.0,lolb,5.0,5.0,255.0,2020-06-03,USC,1987-01-24,8,2.0,Houston Texans / 1st / 15th pick / 2009,2264706.0
Julie'n Davenport,,,,,,,,,,O,O,O,O,,,,,,,,,,,,,,,,
Brandon Dunn,,,Q,,,,,,,,,,,,,,92.0,25.0,NT,16.0,8.0,310.0,2020-06-02,Louisville,1992-09-05,3,4.0,,690000.0
Bruce Ellington,,O,,,,,,,,,,,IR,IR,IR,IR,12.0,26.0,wr,11.0,6.0,200.0,2020-05-09,South Carolina,1991-08-22,3,3.0,San Francisco 49ers / 4th / 106th pick / 2014,690000.0
Tyler Ervin,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
C.J. Fiedorowicz,,IR,IR,IR,IR,IR,IR,IR,,,,,IR,IR,IR,IR,87.0,26.0,te,5.0,5.0,265.0,2020-06-05,Iowa,1991-10-22,3,1.0,Houston Texans / 3rd / 65th pick / 2014,3097000.0
D'Onta Foreman,,,,,,,,,,,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Kyle Fuller,,,,,O,,,,,,,,,,,,,,,,,,,,,,,,
Will Fuller,O,O,O,,,,,,,O,O,O,,,,,15.0,23.0,WR,10.0,10.0,184.0,2000-06-01,Notre Dame,1994-04-16,1,3.0,Houston Texans / 1st / 21st pick / 2016,912014.0
Matthew Godin,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Deante Gray,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Ryan Griffin,,O,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,84.0,27.0,TE,7.0,6.0,255.0,2020-06-06,Connecticut,1990-01-11,4,1.0,Houston Texans / 6th / 201st pick / 2013,875000.0
Joel Heath,,,,,,,O,O,O,Q,,,,,,,93.0,24.0,RDE,13.0,9.0,302.0,2020-06-06,Michigan St.,1993-06-18,1,4.0,,540000.0
Ben Heeney,,,,,O,O,,,,,,IR,IR,IR,IR,IR,,,,,,,,,,,,,
DeAndre Hopkins,,,,,,,,,,,,,,Q,,O,,,,,,,,,,,,,
Jelani Jenkins,,,,,,,Q,,,,,,O,O,,,,,,,,,,,,,,,
Kevin Johnson,,,O,O,O,O,,,,,,,,,,,,,,,,,,,,,,,
Johnathan Joseph,,,,,,,,Q,,,,,,,,,24.0,33.0,LCB,16.0,16.0,186.0,2020-05-11,South Carolina,1984-04-16,11,6.0,Cincinnati Bengals / 1st / 24th pick / 2006,6500000.0
Kendall Lamm,,,,,,,,,,,,,,O,O,Q,,,,,,,,,,,,,
Kendall Langford,,,,,,,Q,,,,,,,,,,,,,,,,,,,,,,
LaTroy Lewis,,,,,,,,,,,,,,,O,Q,,,,,,,,,,,,,
Greg Mancz,,,,O,Q,Q,,,,Q,O,,,,,,65.0,25.0,rt,10.0,7.0,302.0,2020-06-04,Toledo,1992-04-23,2,3.0,,615000.0
Nick Martin,,,,,,,,,,,,,,,IR,IR,66.0,24.0,C,14.0,14.0,295.0,2020-06-04,Notre Dame,1993-04-29,Rook,5.0,Houston Texans / 2nd / 50th pick / 2016,667044.0
Benardrick McKinney,,,,,,Q,,,,,,,,,,,55.0,25.0,LILB,16.0,16.0,257.0,2020-06-04,Mississippi St.,1992-11-19,2,7.0,Houston Texans / 2nd / 43rd pick / 2015,920921.0
Whitney Mercilus,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,59.0,27.0,LOLB,5.0,5.0,258.0,2020-06-04,Illinois,1990-07-21,5,2.0,Houston Texans / 1st / 26th pick / 2012,4500000.0
Braxton Miller,,,,,,,,,,,,,O,O,,,,,,,,,,,,,,,
Corey Moore,,,,,,O,,,,,,,,,,IR,,,,,,,,,,,,,
Derek Newton,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
