Player ,09/09vs. NWE,09/16vs. TEN,09/23vs. NYG,09/30vs. IND,10/07vs. DAL,10/14vs. BUF,10/21vs. JAX,10/25vs. MIA,11/04vs. DEN,11/18vs. WAS,11/26vs. TEN,12/02vs. CLE,12/09vs. IND,12/15vs. NYJ,12/23vs. PHI,12/30vs. JAX,01/05vs. IND,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Tyrell Adams,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,,,
Johnson Bademosi,,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jadeveon Clowney,,Q,,,,,,,Q,,,,,,,,,,,,,,,,,,,,,
Sammie Coates,Q,Q,Q,,,,,,,,Q,,,,,,,,,,,,,,,,,,,
Dylan Cole,,,,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,,,,,,,
Aaron Colvin,,,,,O,O,O,O,Q,Q,,,,,,,,,,,,,,,,,,,,
Keke Coutee,Q,Q,Q,,Q,,,O,Q,Q,,Q,Q,Q,Q,Q,,,,,,,,,,,,,,
Christian Covington,,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zach Cunningham,,,,,,,,,O,Q,,,,,,,,41.0,24.0,RILB,14.0,14.0,238.0,2020-06-03,Vanderbilt,1994-12-02,1,9.0,Houston Texans / 2nd / 57th pick / 2017,668261.0
Brandon Dunn,,,,,,,,,,,,,,,Q,Q,,92.0,26.0,NT,14.0,10.0,310.0,2020-06-02,Louisville,1992-09-05,4,5.0,,790000.0
Duke Ejiofor,Q,Q,,,,,,,,Q,Q,,,,,,,,,,,,,,,,,,,
Bruce Ellington,,,,IR,IR,IR,IR,IR,IR,,IR,,,IR,IR,IR,IR,,,,,,,,,,,,,
D'Onta Foreman,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,,,,,,,,,,,,,,
Will Fuller,Q,Q,,,Q,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,15.0,24.0,WR,7.0,7.0,184.0,2000-06-01,Notre Dame,1994-04-16,2,4.0,Houston Texans / 1st / 21st pick / 2016,1378028.0
Zach Fulton,,,,,,,Q,O,,,Q,,O,Q,,,,73.0,27.0,RG,13.0,13.0,321.0,2020-06-05,Tennessee,1991-09-23,4,6.0,Kansas City Chiefs / 6th / 193rd pick / 2014,1500000.0
Matthew Godin,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Ryan Griffin,,,,,,,O,O,,,,,,,,,,84.0,28.0,TE,14.0,11.0,255.0,2020-06-06,Connecticut,1990-01-11,5,3.0,Houston Texans / 6th / 201st pick / 2013,2250000.0
Andre Hal,IR,IR,IR,IR,IR,IR,,O,Q,,,,,Q,,,,,,,,,,,,,,,,
Ben Heeney,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Seantrel Henderson,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
DeAndre Hopkins,,Q,,Q,,,,,,,,,,,Q,,,,,,,,,,,,,,,
Kevin Johnson,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Johnathan Joseph,,,,,,,,,Q,Q,,,Q,,Q,Q,,24.0,34.0,LCB,14.0,14.0,186.0,2020-05-11,South Carolina,1984-04-16,12,6.0,Cincinnati Bengals / 1st / 24th pick / 2006,2400000.0
Senio Kelemete,,,,,,,,,,,Q,,,,Q,,,64.0,28.0,LG,15.0,14.0,301.0,2020-06-03,Washington,1990-05-10,6,6.0,Arizona Cardinals / 5th / 151st pick / 2012,1250000.0
Jermaine Kelly Jr.,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Lamar Miller,,,,,Q,,,,,,,,,,Q,,,,,,,,,,,,,,,
Brian Peters,,,,,O,O,O,O,,,,,,,,,,,,,,,,,,,,,,
Jevoni Robinson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Brennan Scarlett,,,,,,,,,,,,,Q,IR,IR,IR,IR,,,,,,,,,,,,,
Jordan Thomas,,,Q,,,,,,,,,,,,,,,83.0,22.0,TE,16.0,10.0,277.0,2020-06-05,Mississippi St.,1996-08-02,Rook,2.0,Houston Texans / 6th / 211th pick / 2018,480000.0
Michael Tyson,,,,,,,,,,,,,,,O,,IR,,,,,,,,,,,,,
Deshaun Watson,,,,,,Q,,,,,,,,,,,,,,,,,,,,,,,,
J.J. Watt,,,,,,,,,,,,Q,,,,,,,,,,,,,,,,,,
Kayvon Webster,O,O,O,Q,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,,,,,,,,,,,,,
Shareece Wright,,,,Q,,,O,O,,,,,,,,,,,,,,,,,,,,,,
