Player ,09/09vs. NOR,09/15vs. JAX,09/22vs. LAC,09/29vs. CAR,10/06vs. ATL,10/13vs. KAN,10/20vs. IND,10/27vs. OAK,11/03vs. JAX,11/17vs. BAL,11/21vs. IND,12/01vs. NWE,12/08vs. DEN,12/15vs. TEN,12/21vs. TAM,12/29vs. TEN,01/04vs. BUF,01/12vs. KAN,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Mike Adams,,,,,,,,,,,O,,,,,,,,,,,,,,,,,,,,
Jahleel Addae,,,,,,,,,,,,,,,Q,Q,Q,Q,,,,,,,,,,,,,
Jordan Akins,,,,,,,,,,,,,,,,,Q,Q,88.0,27.0,TE,16.0,9.0,243.0,2020-06-04,Central Florida,1992-04-19,1,4.0,Houston Texans / 3rd / 98th pick / 2018,600000.0
Angelo Blackson,,,,,,,,,,,,Q,,,,,,,97.0,27.0,RDE,15.0,15.0,319.0,2020-06-04,Auburn,1992-11-14,4,6.0,Tennessee Titans / 4th / 100th pick / 2015,2000000.0
Dylan Cole,,,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Gareon Conley,,,,,,,,,,,,Q,Q,,,,,,22.0,24.0,rcb,8.0,6.0,190.0,2000-06-01,Ohio St.,1995-06-29,2,2.0,Oakland Raiders / 1st / 24th pick / 2017,
Keke Coutee,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keion Crossen,,,,,,,,,,,,,,,,,,Q,,,,,,,,,,,,,
Duke Ejiofor,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Darren Fells,,,,,,,,,,,,,,,,,,Q,87.0,33.0,TE,16.0,14.0,270.0,2020-06-07,UC Irvine,1986-04-22,6,3.0,,900000.0
Will Fuller,,,,,,,,O,O,Q,Q,,Q,Q,Q,O,Q,Q,15.0,25.0,WR,11.0,11.0,184.0,2000-06-01,Notre Dame,1994-04-16,3,6.0,Houston Texans / 1st / 21st pick / 2016,1836043.0
Phillip Gaines,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Tashaun Gipson,,,,,Q,,Q,Q,O,Q,Q,,,,,,IR,IR,39.0,29.0,SS,14.0,14.0,212.0,2020-06-01,Wyoming,1990-08-07,7,5.0,,2500000.0
Seantrel Henderson,,,,O,,,IR,IR,IR,IR,IR,,,,,,,,,,,,,,,,,,,,
DeAndre Hopkins,,,,,,,,,,,,,,,,Q,,,,,,,,,,,,,,,
Tytus Howard,Q,,,,,,O,O,Q,,,D,IR,IR,IR,IR,IR,IR,71.0,23.0,RT,8.0,8.0,322.0,2020-06-05,Alabama St.,1996-05-23,Rook,5.0,Houston Texans / 1st / 23rd pick / 2019,495000.0
Carlos Hyde,,,,,,,,,,,,,,,Q,,,,23.0,29.0,RB,16.0,14.0,229.0,2000-06-01,Ohio St.,1990-09-20,5,8.0,San Francisco 49ers / 2nd / 57th pick / 2014,
Lonnie Johnson Jr.,,,,,Q,,,,O,,O,,,,,,,,32.0,24.0,db,14.0,7.0,213.0,2020-06-02,Kentucky,1995-11-04,Rook,3.0,Houston Texans / 2nd / 54th pick / 2019,495000.0
Roderick Johnson,,,,,,,,Q,,,,,,,,,,,,,,,,,,,,,,,
Taiwan Jones,,Q,Q,,,Q,,,,,,,O,Q,Q,,,,,,,,,,,,,,,,
Johnathan Joseph,,,,,,Q,Q,Q,,,,,,,,,Q,Q,24.0,35.0,CB,14.0,11.0,186.0,2020-05-11,South Carolina,1984-04-16,13,4.0,Cincinnati Bengals / 1st / 24th pick / 2006,2900000.0
