Player ,09/11vs. TEN,09/18vs. GNB,09/25vs. CAR,10/03vs. NYG,10/09vs. HOU,10/23vs. PHI,10/31vs. CHI,11/06vs. DET,11/13vs. WAS,11/20vs. ARI,11/24vs. DET,12/01vs. DAL,12/11vs. JAX,12/18vs. IND,12/24vs. GNB,01/01vs. CHI,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Mackensie Alexander,,,,,,,,,,,,D,,Q,IR,IR,,,,,,,,,,,,,
Matt Asiata,,,,,,,,,,,,,,Q,,,44.0,29.0,rb,16.0,6.0,229.0,2020-05-11,Utah,1987-07-24,4,5.0,,760000.0
Joe Berger,,,,,,,,,,,,O,O,Q,,,61.0,34.0,C,14.0,14.0,305.0,2020-06-05,Michigan Tech,1982-05-25,11,6.0,Carolina Panthers / 6th / 207th pick / 2005,985000.0
Alex Boone,,,,,,,,O,,,,,,,,D,76.0,29.0,LG,14.0,14.0,330.0,2020-06-07,Ohio St.,1987-05-04,6,6.0,,1600000.0
Teddy Bridgewater,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Scott Crichton,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Stefon Diggs,,,,,D,Q,,,,,Q,Q,,,Q,D,14.0,23.0,WR,13.0,11.0,191.0,2000-06-01,Maryland,1993-11-29,1,7.0,Minnesota Vikings / 5th / 146th pick / 2015,525000.0
Nick Easton,O,,,,,,,,,,,,,,,,62.0,24.0,c,11.0,5.0,303.0,2020-06-03,Harvard,1992-06-16,Rook,3.0,,525000.0
Antone Exum,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Sharrif Floyd,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Brandon Fusco,,,,,,,,,,,,,,O,O,,63.0,28.0,RG,14.0,14.0,306.0,2020-06-04,Slippery Rock,1988-07-26,5,6.0,Minnesota Vikings / 6th / 172nd pick / 2011,3120000.0
Michael Griffin,IR,IR,IR,IR,IR,IR,IR,,,IR,IR,IR,,IR,,,,,,,,,,,,,,,
Mike Harris,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Taylor Heinicke,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Tom Johnson,,,,,,,,Q,,,,,,,,IR,,,,,,,,,,,,,
Linval Joseph,,,,,,,,,Q,,,,,,,,,,,,,,,,,,,,
Matt Kalil,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Eric Kendricks,,,,,,,,O,,Q,Q,,,,,,54.0,24.0,MLB,15.0,14.0,232.0,2000-06-01,UCLA,1992-02-29,1,8.0,Minnesota Vikings / 2nd / 45th pick / 2015,669360.0
Zac Kerin,,,,,,,O,O,Q,,,,,,,,,,,,,,,,,,,,
Zach Line,,,,,,,,,,,,,,,O,,,,,,,,,,,,,,
Jake Long,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Jerick McKinnon,Q,,,,,,O,Q,,,,,,,,,21.0,24.0,RB,15.0,7.0,205.0,2020-05-09,Georgia Southern,1992-05-03,2,5.0,Minnesota Vikings / 3rd / 96th pick / 2014,610000.0
David Morgan,,,,O,O,,,,,,,,,,,,,,,,,,,,,,,,
Terence Newman,,,,,,,,,,,D,Q,,,,,23.0,38.0,LCB,15.0,10.0,197.0,2020-05-10,Kansas St.,1978-09-04,13,4.0,Dallas Cowboys / 1st / 5th pick / 2003,1650000.0
Adrian Peterson,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,O,O,,,,,,,,,,,,,
Jabari Price,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Xavier Rhodes,,O,Q,,,,,,,,,,,,,,,,,,,,,,,,,,
Edmond Robinson,,,,,,,,,,,,,Q,,,,,,,,,,,,,,,,
Andrew Sendejo,,,,,,,O,Q,,,,,,,,O,34.0,29.0,SS,14.0,14.0,210.0,2020-06-01,Rice,1987-09-09,6,6.0,,950000.0
Marcus Sherels,,,,,,,Q,,O,Q,O,O,Q,,,,,,,,,,,,,,,,
Andre Smith,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Harrison Smith,,,,,,,,,,,Q,,O,O,Q,,,,,,,,,,,,,,
Laquon Treadwell,,,,,,Q,,,Q,,,,,O,O,D,,,,,,,,,,,,,
Trae Waynes,,,,,,,,,,,,,,O,,,26.0,24.0,DB,15.0,8.0,190.0,2000-06-01,Michigan St.,1992-07-25,1,4.0,Minnesota Vikings / 1st / 11th pick / 2015,1023381.0
Jarius Wright,,,,,,D,Q,,,,,,,,,,,,,,,,,,,,,,
