Player ,09/08vs. ATL,09/15vs. GNB,09/22vs. OAK,09/29vs. CHI,10/06vs. NYG,10/13vs. PHI,10/20vs. DET,10/24vs. WAS,11/03vs. KAN,11/10vs. DAL,11/17vs. DEN,12/02vs. SEA,12/08vs. DET,12/15vs. LAC,12/23vs. GNB,12/29vs. CHI,01/05vs. NOR,01/11vs. SFO,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Mackensie Alexander,,O,O,Q,O,,,,,,,,,,,Q,O,O,,,,,,,,,,,,,
Ade Aruna,IR,IR,IR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Barr,,,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad Beebe,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Tashawn Bower,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,,,,,,,,,,,,
Kentrell Brothers,,,,O,O,Q,Q,,,,,,,,,,,,,,,,,,,,,,,,
Tyler Conklin,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dalvin Cook,,,,,,,,,,,,,,,O,O,,,,,,,,,,,,,,,
Stefon Diggs,Q,,,,,,,,,,,,,,,,,,14.0,26.0,WR,15.0,15.0,191.0,2000-06-01,Maryland,1993-11-29,4,12.0,Minnesota Vikings / 5th / 146th pick / 2015,8900000.0
Josh Doctson,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,,,,,,,,
Pat Elflein,,Q,Q,,,,,,,,,,,,,,,,65.0,25.0,LG,15.0,15.0,303.0,2020-06-03,Ohio St.,1994-07-06,2,8.0,Minnesota Vikings / 3rd / 70th pick / 2017,809500.0
Mark Fields II,,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Gedeon,,Q,Q,,,O,O,,,,,O,IR,IR,IR,IR,IR,IR,42.0,25.0,LLB,8.0,5.0,244.0,2020-06-02,Michigan,1994-10-16,2,2.0,Minnesota Vikings / 4th / 120th pick / 2017,645000.0
Anthony Harris,,,,,,,,,,,O,Q,,,,,,,41.0,28.0,FS,14.0,14.0,202.0,2020-06-01,Virginia,1991-10-09,4,6.0,,3095000.0
Jalyn Holmes,,,,,,,,Q,,,,,,,,,,,,,,,,,,,,,,,
Mike Hughes,O,D,Q,,,,,,,,,,,,,,IR,IR,,,,,,,,,,,,,
Olabisi Johnson,,,,,,,,,,,,,,Q,,,,,,,,,,,,,,,,,
Brett Jones,,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Linval Joseph,,,,,,,,,,O,O,Q,,,,,,,98.0,31.0,LDT,13.0,13.0,329.0,2020-06-04,East Carolina,1988-10-10,9,6.0,New York Giants / 2nd / 46th pick / 2010,8900000.0
Jayron Kearse,,,,,,,,,,,,,,O,,Q,,O,,,,,,,,,,,,,
Eric Kendricks,,,,,,,,,,,,,,,,O,,,,,,,,,,,,,,,
Josh Kline,,,,O,,O,,,,,O,,,,,,,,64.0,30.0,G,13.0,13.0,300.0,2020-06-03,Kent St.,1989-12-29,6,7.0,,1450000.0
Alexander Mattison,,,,,,,,,,,,,,O,Q,Q,,,,,,,,,,,,,,,
David Morgan,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,,,,,,,,,,,,,
Ifeadi Odenigbo,,,,,,,,,,,,,,,,,Q,,,,,,,,,,,,,,
Riley Reiff,,,,,,,,,,,,,Q,,,,,,71.0,31.0,LT,15.0,15.0,305.0,2020-06-06,Iowa,1988-12-01,7,9.0,Detroit Lions / 1st / 23rd pick / 2012,9400000.0
Xavier Rhodes,,,,,,,,,,,,,,Q,,,,,,,,,,,,,,,,,
Marcus Sayles,,,,,,,,,,,,,,,,,,/,,,,,,,,,,,,,
Andrew Sendejo,,,,,,,,,,O,Q,,,,,,,,,,,,,,,,,,,,
Harrison Smith,,,,,,,,,,,,Q,,,,,,,,,,,,,,,,,,,
Shamar Stephen,,,,,,,,,,,,Q,,,,,,,93.0,28.0,RDT,15.0,15.0,309.0,2020-06-05,Connecticut,1991-02-25,5,7.0,Minnesota Vikings / 7th / 220th pick / 2014,900000.0
Adam Thielen,,,,,,,,O,Q,O,O,Q,D,,,,,Q,19.0,29.0,WR,10.0,10.0,200.0,2020-06-02,Minnesota St.,1990-08-22,6,4.0,,5850000.0
Armon Watts,,,,,,,,,,,,,,,,,IR,IR,,,,,,,,,,,,,
Trae Waynes,,,,,,,,,,Q,,,,,,,,,26.0,27.0,CB,14.0,14.0,190.0,2000-06-01,Michigan St.,1992-07-25,4,5.0,Minnesota Vikings / 1st / 11th pick / 2015,9069000.0
Stephen Weatherly,,,,,,,,,,Q,,,,,,,,,,,,,,,,,,,,,
Isaiah Wharton,IR,IR,IR,IR,IR,,,,,,,,,,,,,,,,,,,,,,,,,,
