Player ,09/13vs. GNB,09/20vs. IND,09/27vs. TEN,10/04vs. HOU,10/11vs. SEA,10/18vs. ATL,11/01vs. GNB,11/08vs. DET,11/16vs. CHI,11/22vs. DAL,11/29vs. CAR,12/06vs. JAX,12/13vs. TAM,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Anthony Barr,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Mike Boone,,,Q,,,,,,,,,,,23.0,25.0,RB,13.0,0.0,206.0,2020-05-10,Cincinnati,1995-07-30,2,,,750000.0
Kris Boyd,,,Q,D,Q,O,,,,,,,,,,,,,,,,,,,,
Jordan Brailford,,,,,,,,,,,O,,,67.0,25.0,EDGE,2.0,0.0,252.0,2020-06-03,Oklahoma St.,1995-10-09,Rook,,Washington Redskins / 7th / 253rd pick / 2019,430588.0
Dan Chisena,,,,,,,O,,,,,,,85.0,23.0,WR,11.0,0.0,202.0,2020-06-03,Penn St.,1997-02-25,Rook,,,610000.0
Ezra Cleveland,,,,,,,,,,O,O,,,72.0,22.0,OL,10.0,6.0,311.0,2020-06-06,Boise St.,1998-05-08,Rook,,Minnesota Vikings / 2nd / 58th pick / 2020,610000.0
Dalvin Cook,,,,,,O,Q,,,,,,,33.0,25.0,RB,12.0,12.0,210.0,2020-05-10,Florida St.,1995-08-10,3,,Minnesota Vikings / 2nd / 41st pick / 2017,825000.0
Austin Cutting,,,,,,,,,C19,,,,,,,,,,,,,,,,,
Cameron Dantzler,,O,O,,,,C19,O,Q,Q,,,,27.0,22.0,CB,9.0,8.0,188.0,2020-06-02,Mississippi St.,1998-09-03,Rook,,Minnesota Vikings / 3rd / 89th pick / 2020,610000.0
Todd Davis,,,,,,,C19,C19,C19,,,,,40.0,28.0,LB,9.0,4.0,230.0,2020-06-01,Sacramento St.,1992-05-17,6,,,926471.0
Myles Dorn,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Troy Dye,,,IR,IR,IR,IR,IR,,,,,,,45.0,24.0,LB,9.0,4.0,231.0,2020-06-03,Oregon,1996-09-18,Rook,,Minnesota Vikings / 4th / 132nd pick / 2020,548235.0
Pat Elflein,,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,,,,,
Mark Fields II,,,,,,,,O,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Ben Gedeon,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,,,,,,,,,,,,,,,,,
C.J. Ham,,,,,,,,,,C19,,,,30.0,27.0,RB,13.0,9.0,235.0,2020-05-11,Augustana (SD),1993-07-22,3,,,900000.0
Harrison Hand,,,,,,,,Q,,,,,,38.0,22.0,CB,11.0,0.0,197.0,2020-05-11,"Baylor,Temple",1998-11-12,Rook,,Minnesota Vikings / 5th / 169th pick / 2020,610000.0
Holton Hill,,,,,Q,D,O,O,IR,IR,IR,IR,,,,,,,,,,,,,,
Mike Hughes,,,O,O,,,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Danielle Hunter,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
George Iloka,,,,,,,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
K.J. Osborn,,,,,O,O,,,,,,,,17.0,23.0,WR,8.0,0.0,203.0,2020-05-11,"Buffalo,Miami (FL)",1997-06-10,Rook,,Minnesota Vikings / 5th / 176th pick / 2020,610000.0
Michael Pierce,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Quentin Poling,//,,,,,,,,,,,,,,,,,,,,,,,,,
Dru Samia,,,,,,O,,,,C19,C19,,,73.0,23.0,OL,10.0,4.0,308.0,2020-06-05,Oklahoma,1997-08-22,1,,Minnesota Vikings / 4th / 114th pick / 2019,675000.0
Cameron Smith,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Irv Smith Jr.,,,,,,,,,O,Q,D,,,84.0,22.0,TE,10.0,4.0,242.0,2020-06-02,Alabama,1998-08-09,1,,Minnesota Vikings / 2nd / 50th pick / 2019,758566.0
Adam Thielen,,,,,,,,,,,C19,,,19.0,30.0,WR,12.0,12.0,200.0,2020-06-02,Minnesota St.,1990-08-22,7,,,4800000.0
Kenny Willekes,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
